,World - 2500 companies ranked by R&D,,,,,,,,,,,,,,,,,,,,
world rank,Name,Country,Industrial sector (ICB-3D), R&D 2013 (€million), R&D 1 year growth (%)," R&D 3 years growth (CAGR-3y, %)",R&D intensity (%),Sales 2013 (€million),Sales 1 year growth (%),"Sales 3 years growth (CAGR-3y, %)",Capex 2013 (€million),Capex 1 year growth (%),"Capex 3 years growth (CAGR-3y, %)",Capex int. (%),Profits 2013 (€million),Profits 1 year growth (%),"Profits 3 years growth (CAGR-3y, %)",Profitability (%),Employees 2013,Employees 1-year growth (%),"Employees 3-years growth (CAGR-3y, %)"
1,VOLKSWAGEN,Germany,Automobiles & Parts,11743.0,23.4,23.3,6.0,197007.0,2.2,15.8,11385.0,8.5,25.5,5.8,11500.0,-8.2,18.8,5.8,572800,9.1,18.7
2,SAMSUNG ELECTRONICS,South Korea,Electronic & Electrical Equipment,10154.9,25.4,17.5,6.5,157122.9,13.7,13.9,16552.6,2.0,1.7,10.5,25273.1,26.6,30.3,16.1,,   ,   
3,MICROSOFT,US,Software & Computer Services,8252.5,9.3,8.0,13.1,62963.5,11.5,7.5,3977.2,28.8,32.6,6.3,20143.6,4.6,0.8,32.0,128000,29.3,12.5
4,INTEL,US,Technology Hardware & Equipment,7694.1,4.6,17.3,20.1,38219.1,-1.2,6.5,7792.8,-9.2,27.3,20.4,8968.9,-15.5,-7.2,23.5,107600,2.5,9.3
5,NOVARTIS,Switzerland,Pharmaceuticals & Biotechnology,7173.5,6.5,5.4,17.1,41998.4,2.2,4.6,2221.7,13.6,22.2,5.3,7911.0,-2.5,-1.8,18.8,135696,6.2,4.4
6,ROCHE,Switzerland,Pharmaceuticals & Biotechnology,7076.2,2.7,-1.3,18.6,38049.0,2.8,-0.5,1993.5,12.9,-2.8,5.2,13319.6,15.9,6.7,35.0,85080,3.6,1.8
7,TOYOTA MOTOR,Japan,Automobiles & Parts,6269.9,12.8,7.6,3.5,177017.3,16.4,10.6,18456.2,35.7,16.6,10.4,15792.7,73.5,69.8,8.9,338875,1.6,2.2
8,JOHNSON & JOHNSON,US,Pharmaceuticals & Biotechnology,5933.6,6.8,6.1,11.5,51709.1,6.1,5.0,2606.8,22.5,14.7,5.0,11987.8,3.4,-1.3,23.2,128100,0.4,4.0
9,GOOGLE,US,Software & Computer Services,5735.6,20.0,28.1,13.2,43379.7,19.2,26.8,5335.4,124.8,22.3,12.3,10216.1,5.6,10.7,23.6,47756,-11.3,25.1
10,DAIMLER,Germany,Automobiles & Parts,5379.0,-4.6,3.5,4.6,117982.0,3.2,6.5,4975.0,3.1,10.8,4.2,11201.0,21.4,16.7,9.5,274616,-0.2,1.8
11,GENERAL MOTORS,US,Automobiles & Parts,5220.8,-2.3,1.1,4.6,112701.8,2.1,4.7,7119.9,7.7,32.6,6.3,3720.5,-116.9,0.1,3.3,219000,2.8,2.7
