EU R&D Scoreboard 2015 :  World - 2500 companies ranked by R&D,,,,,,,,,,,,,,,,,,,,,
, , ,Industrial sector , R&D 2014, R&D 1 year growth, R&D 3 years growth,Sales 2014,Sales 1 year growth,Sales 3 years growth,R&D intensity,Capex 2014,Capex 1 year growth,Capex 3 years growth,Capex int.,Profits 2014,Profits 1 year growth,Profits 3 years growth,Profitability,Employees 2014,Employees 1-year growth,Employees 3-years growth
world rank,Name,Country,(ICB-3D),(€million),(%),"(CAGR-3y, %)",(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%), ,(%),"(CAGR-3y, %)"
1,VOLKSWAGEN,Germany,Automobiles & Parts,"13,120.0",11.7,17.7,"202,458.0",2.8,7.3,6.5,"12,012.0",5.5,12.1,5.9,"12,139.0",5.6,0.7,6.0,"592,586",3.5,4.5
2,SAMSUNG,South Korea,Electronic & Electrical Equipment,"12,187.0",10.0,13.1,"154,500.7",-9.8,11.5,7.9,"17,508.0",-3.0,2.1,11.3,"18,750.1",-32.0,33.0,12.1,,,
3,MICROSOFT,US,Software & Computer Services,"9,921.7",5.8,5.1,"77,077.6",7.8,5.6,12.9,"4,895.8",8.4,33.5,6.4,"23,053.3",0.8,8.5,29.9,"118,000",-7.8,10.8
4,INTEL,US,Technology Hardware & Equipment,"9,502.5",8.7,8.3,"46,017.6",6.0,-0.8,20.6,"8,398.8",-5.1,-0.3,18.3,"12,738.6",25.0,-10.7,27.7,"106,700",-0.8,2.4
5,NOVARTIS,Switzerland,Pharmaceuticals & Biotechnology,"8,217.6",0.8,2.5,"49,084.1",2.9,-0.4,16.7,"2,161.3",-14.4,12.2,4.4,"8,842.8",-1.6,-0.3,18.0,"133,413",-1.7,3.1
6,GOOGLE,US,Software & Computer Services,"8,098.2",24.3,15.3,"54,362.1",18.9,13.6,14.9,"9,026.4",48.9,28.9,16.6,"13,587.0",7.1,8.3,25.0,"53,600",12.2,13.7
7,ROCHE,Switzerland,Pharmaceuticals & Biotechnology,"7,422.1",2.4,2.5,"39,523.1",1.5,3.2,18.8,"2,469.9",21.0,7.8,6.2,"11,733.2",-14.0,6.8,29.7,"88,509",4.0,2.0
8,JOHNSON & JOHNSON,US,Pharmaceuticals & Biotechnology,"6,996.1",3.8,2.7,"61,223.1",4.2,3.1,11.4,"3,059.1",3.3,7.5,5.0,"17,937.6",32.0,7.1,29.3,"126,500",-1.2,2.8
9,TOYOTA ,Japan,Automobiles & Parts,"6,858.4",10.3,5.3,"185,940.4",6.0,11.4,3.7,"22,923.4",25.3,20.5,12.3,"18,779.1",20.0,86.1,10.1,"344,109",1.5,1.3
10,PFIZER,US,Pharmaceuticals & Biotechnology,"6,844.6",26.9,-8.1,"40,857.4",-3.8,-5.5,16.8,"1,303.8",8.1,-8.0,3.2,"11,689.3",-11.8,-3.4,28.6,"78,300",0.8,-9.2
11,GENERAL MOTORS,US,Automobiles & Parts,"6,095.0",2.8,-3.9,"128,431.7",0.3,1.1,4.7,"9,774.3",20.9,11.5,7.6,"1,260.2",-70.2,-3.2,1.0,"216,000",-1.4,1.9
12,MERCK US,US,Pharmaceuticals & Biotechnology,"6,056.3",-3.9,-1.9,"34,788.7",-4.1,-2.9,17.4,"1,084.8",-14.9,-3.5,3.1,"6,492.0",-4.9,-6.4,18.7,"70,000",-7.9,-4.0
13,FORD ,US,Automobiles & Parts,"5,683.2",7.8,6.5,"118,669.7",-1.9,2.7,4.8,"6,146.9",13.1,15.4,5.2,"2,833.4",-37.2,-10.1,2.4,"187,000",3.3,3.3
14,DAIMLER,Germany,Automobiles & Parts,"5,650.0",5.0,-1.5,"129,872.0",10.1,3.5,4.4,"4,844.0",-2.6,6.2,3.7,"10,342.0",-7.7,7.9,8.0,"279,972",2.0,0.4
15,HUAWEI,China,Financial Services,"5,441.2",33.8,10.3,"38,793.1",20.6,,14.0,,,,0.0,"4,604.2",17.4,,11.9,,,
