EU R&D Scoreboard 2016 :  World - 2500 companies ranked by R&D,,,,,,,,,,,,,,,,,,,,,
, , ,Industrial sector , R&D 2015/16, R&D 1 year growth, R&D 3 years growth,Sales 2015/16,Sales 1 year growth,Sales 3 years growth,R&D intensity,Capex 2015/16,Capex 1 year growth,Capex 3 years growth,Capex int.,Profits/losses 2015/16,Profits 1 year growth,Profits 3 years growth,Profitability,Employees 2015/16,Employees 1-year growth,Employees 3-years growth
world rank,Name,Country,(ICB-3D),(€million),(%),"(CAGR-3y, %)",(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%), ,(%),"(CAGR-3y, %)"
1,VOLKSWAGEN,Germany,Automobiles & Parts,"13,612.0",3.8,12.7,"213,292.0",5.4,3.4,6.4,"13,213.0",10.0,8.0,6.2,"-1,228.0",-110.1,,-0.6,610076,3.0,3.5
2,SAMSUNG ELECTRONICS,South Korea,Electronic & Electrical equipment,"12,527.9",-1.7,10.7,"157,190.3",-2.7,-0.1,8.0,"21,450.9",17.2,5.1,13.6,"20,692.1",5.5,-3.1,13.2,0,,
3,INTEL,US,Technology Hardware & Equipment,"11,139.9",5.1,6.1,"50,845.1",-0.9,1.2,21.9,"6,839.4",-27.0,-14.3,13.5,"13,016.4",-8.4,-1.1,25.6,107300,0.6,0.7
4,ALPHABET,US,Software & Computer Services,"11,053.6",22.4,22.2,"68,879.4",13.6,17.7,16.0,"9,107.2",-9.5,44.7,13.2,"17,782.7",17.4,11.9,25.8,61814,15.3,4.7
5,MICROSOFT,US,Software & Computer Services,"11,011.3",-0.5,4.8,"78,368.7",-8.8,3.1,14.1,"7,663.3",40.4,25.1,9.8,"18,682.8",-0.7,-8.5,23.8,114000,-3.4,4.8
6,NOVARTIS,Switzerland,Pharmaceuticals & Biotechnology,"9,001.6",-9.5,1.8,"46,281.8",-15.0,-3.8,19.4,"2,174.2",-9.8,-4.3,4.7,"8,245.6",-16.4,-7.1,17.8,118700,-11.0,-2.4
7,ROCHE,Switzerland,Pharmaceuticals & Biotechnology,"8,640.0",4.7,3.3,"44,574.6",1.4,1.9,19.4,"3,210.8",16.9,16.9,7.2,"12,796.1",-1.9,-0.7,28.7,91747,3.7,3.8
8,HUAWEI INVESTEMENT & HOLDING CO,China,Technology Hardware & Equipment,"8,357.9",46.1,26.3,"55,892.5",37.1,21.5,15.0,0.0,,,0.0,"6,478.6",33.9,30.4,11.6,0,,
9,JOHNSON & JOHNSON,US,Pharmaceuticals & Biotechnology,"8,309.0",6.5,5.7,"64,364.9",-5.7,1.4,12.9,"3,180.9",-6.8,5.7,4.9,"18,487.2",-7.6,8.0,28.7,127100,0.5,-0.1
10,TOYOTA MOTOR,Japan,Automobiles & Parts,"8,047.0",5.1,9.3,"216,506.5",4.3,8.8,3.7,"30,941.9",20.9,27.2,14.3,"21,754.8",3.8,29.3,10.0,348877,1.4,1.5
