World rank,Company,Country,Industry,R&D 2016/17 (€million),R&D one-year growth (%),Net sales (€million),Net sales one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),Op.profits (€million),Op.profits one-year growth (%),Profitability (%),Employees (th),Employees one-year growth (%),Market cap (€million),Market cap one-year growth (%)
1,VOLKSWAGEN,Germany,Automobiles & Parts,13672.0,0.4,217267.0,1.9,6.3,13152.0,-0.5,6.1,8344.0,-779.5,3.8,626.7,2.7,25612.8,-11.5
2,ALPHABET,US,Software & Computer Services,12864.1,12.7,85638.9,20.4,15.0,9687.9,2.6,11.3,22498.8,22.5,26.3,72.1,16.6,220930.3,
3,MICROSOFT,US,Software & Computer Services,12367.9,8.8,85333.5,5.4,14.5,7711.8,-2.6,9.0,21418.3,11.0,25.1,124.0,8.8,424777.5,28.6
4,SAMSUNG ELECTRONICS,South Korea,Electronic & Electrical Equipment,12154.6,-3.2,158571.0,0.6,7.7,19787.8,-8.0,12.5,22969.2,10.7,14.5,308.7,,180281.0,43.1
5,INTEL,US,Technology Hardware & Equipment,12086.1,5.0,56339.1,7.3,21.5,9131.0,29.3,16.2,13797.6,2.6,24.5,106.0,-1.2,161081.1,25.1
6,HUAWEI,China,Technology Hardware & Equipment,10362.7,28.5,53920.4,37.1,19.2,3038.6,60.2,5.6,6250.0,33.9,11.6,,,,
7,APPLE,US,Technology Hardware & Equipment,9529.5,24.5,204571.7,-7.7,4.7,12852.7,17.9,6.3,56943.4,-15.7,27.8,116.0,5.5,542371.5,-11.1
8,ROCHE,Switzerland,Pharmaceuticals & Biotechnology,9241.6,6.2,47141.2,5.0,19.6,3862.6,19.5,8.2,13113.5,1.8,27.8,94.1,2.5,157032.7,-9.2
9,JOHNSON & JOHNSON,US,Pharmaceuticals & Biotechnology,8628.2,0.5,68200.4,2.6,12.7,3060.4,-6.8,4.5,19827.3,3.3,29.1,126.4,-0.6,309742.5,25.5
10,NOVARTIS,Switzerland,Pharmaceuticals & Biotechnology,8539.0,-8.2,46898.8,-1.9,18.2,1766.4,-21.3,3.8,7843.7,-7.9,16.7,118.4,-0.3,189529.0,-19.8
