World rank,Company,Country,Region,Industry,R&D 2017/18 (€mn),R&D one-year growth (%),Net sales (€mn),Net sales one-year growth (%),R&D intensity (%),Capex (€mn),Capex one-year growth (%),Capex intensity (%),Op.profits (€mn),Op.profits one-year growth (%),Profitability (%),Employees,Employees one-year growth (%),Market cap (€mn),Market cap one-year growth (%)
1,SAMSUNG,South Korea,RoW,Electronic & Electrical Equipment,13436.7,11.5,186607.0,18.7,7.2,34097.4,73.8,18.3,41784.5,83.5,22.4,320671,3.9,234095.7,31.0
2,ALPHABET,US,US,Software & Computer Services,13387.8,18.4,92433.1,22.8,14.5,10993.1,29.1,11.9,24082.4,21.8,26.1,80110,11.2,237392.2,22.3
3,VOLKSWAGEN,Germany,EU,Automobiles & Parts,13135.0,-3.9,230682.0,6.2,5.7,13052.0,-0.8,5.7,13458.0,61.3,5.8,642300,2.5,38236.3,-0.5
4,MICROSOFT,US,US,Software & Computer Services,12278.8,13.0,92020.4,14.3,13.3,9699.0,43.1,10.5,29192.9,40.5,31.7,131000,5.6,480194.2,28.6
5,HUAWEI,China,China,Technology Hardware & Equipment,11334.1,16.6,77294.6,15.7,14.7,2224.0,-22.0,2.9,,,,180000,0.0,,
6,INTEL,US,US,Technology Hardware & Equipment,10921.4,2.8,52331.4,5.7,20.9,9820.7,22.4,18.8,14547.7,20.0,27.8,102700,-3.1,137408.5,-2.9
7,APPLE,US,US,Technology Hardware & Equipment,9656.5,15.3,191139.9,6.3,5.1,10381.9,-2.2,5.4,51149.9,2.2,26.8,123000,6.0,706326.7,48.2
8,ROCHE,Switzerland,RoW,Pharmaceuticals & Biotechnology,8884.5,4.8,45567.3,5.4,19.5,3000.0,-15.3,6.6,10573.0,-12.1,23.2,93734,-0.3,146257.5,1.5
9,JOHNSON & JOHNSON,US,US,Pharmaceuticals & Biotechnology,8800.1,16.0,63745.5,6.3,13.8,2734.1,1.6,4.3,15827.6,-9.2,24.8,134000,6.0,296240.4,8.8
10,DAIMLER,Germany,EU,Automobiles & Parts,8663.0,15.0,164330.0,7.2,5.3,6744.0,14.5,4.1,14631.0,15.2,8.9,289321,2.4,65535.0,-1.2
11,MERCK US,US,US,Pharmaceuticals & Biotechnology,8474.1,48.7,33454.5,0.8,25.3,1574.3,17.0,4.7,6257.0,14.9,18.7,69000,1.5,145225.5,0.3
12,TOYOTA MOTOR,Japan,Japan,Automobiles & Parts,7859.6,2.6,216981.6,6.5,3.6,26578.2,1.6,12.2,17724.1,20.3,8.2,369124,1.3,149002.8,-3.1
13,NOVARTIS,Switzerland,RoW,Pharmaceuticals & Biotechnology,7330.9,-2.3,41803.6,1.4,17.5,1414.2,-8.9,3.4,7195.0,4.4,17.2,121597,2.7,180992.5,4.1
14,FORD MOTOR,US,US,Automobiles & Parts,6670.6,9.6,130723.0,3.3,5.1,5877.6,0.8,4.5,4013.2,-16.2,3.1,202000,0.5,35876.7,-12.5
15,FACEBOOK,US,US,Software & Computer Services,6465.4,31.0,33897.3,47.1,19.1,5614.1,49.9,16.6,16845.7,62.6,49.7,25105,47.3,339886.9,39.1
16,PFIZER,US,US,Pharmaceuticals & Biotechnology,6167.8,-4.9,43813.9,-0.5,14.1,1631.0,7.3,3.7,12664.1,11.6,28.9,90200,-6.5,168209.9,-4.4
17,BMW,Germany,EU,Automobiles & Parts,6108.0,18.3,98678.0,4.8,6.2,7112.0,22.1,7.2,9764.0,4.7,9.9,129932,12.2,46955.6,0.0
18,GENERAL MOTORS,US,US,Automobiles & Parts,6086.9,-9.9,121394.2,-2.4,5.0,23040.9,-0.9,19.0,8351.5,0.5,6.9,180000,-20.0,44229.4,6.4
19,ROBERT BOSCH,Germany,EU,Automobiles & Parts,5934.0,0.4,78066.0,6.8,7.6,5477.0,5.1,7.0,4824.0,54.4,6.2,402166,3.3,,
20,SIEMENS,Germany,EU,Electronic & Electrical Equipment,5538.0,9.5,83049.0,4.3,6.7,2406.0,12.7,2.9,7516.0,5.3,9.1,372000,6.0,93561.2,2.7
21,SANOFI,France,EU,Pharmaceuticals & Biotechnology,5450.0,5.7,35055.0,-4.0,15.5,1956.0,-6.1,5.6,5803.0,-19.5,16.6,106566,-12.5,103091.9,15.8
22,HONDA MOTOR,Japan,Japan,Automobiles & Parts,5396.8,10.7,113449.3,9.7,4.8,3069.1,-15.9,2.7,6156.2,-0.9,5.4,215638,1.8,41218.4,-2.8
