World rank,Company,Country,Region,Industry,R&D 2018/19 (€million),R&D one-year growth (%),Net sales (€million),Net sales one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),Op.profits (€million),Op.profits one-year growth (%),Profitability (%),Employees,Employees one-year growth (%),Market cap (€million),Market cap one-year growth (%)
1,ALPHABET,US,US,Software & Computer Services,18270.7,30.3,119492.5,23.4,15.3,21955.4,90.7,18.4,27416.6,8.7,22.9,98771.0,23.3,321574.1,29.3
2,SAMSUNG ELECTRONICS,South Korea,RoW,Electronic & Electrical Equipment,14831.3,9.8,190822.5,1.8,7.8,23935.4,-30.2,12.5,46096.1,9.8,24.2,309630.0,-3.4,243461.3,3.5
3,MICROSOFT,US,US,Software & Computer Services,14738.9,14.6,109906.5,14.0,13.4,12161.6,19.7,11.1,37496.1,22.6,34.1,144000.0,9.9,752288.6,49.6
4,VOLKSWAGEN,Germany,EU,Automobiles & Parts,13640.0,3.8,235849.0,2.7,5.8,13729.0,5.2,5.8,13982.0,4.0,5.9,664500.0,3.5,40810.9,6.7
5,HUAWEI INVESTEMENT & HOLDING CO,China,China,Technology Hardware & Equipment,12739.6,12.9,91911.6,19.5,13.9,3890.3,75.8,4.2,9339.9,30.0,10.2,188000.0,4.4, , 
6,APPLE,US,US,Technology Hardware & Equipment,12433.2,22.9,231960.6,15.9,5.4,11627.1,6.9,5.0,61919.6,15.6,26.7,132000.0,7.3,960205.7,29.8
7,INTEL,US,US,Technology Hardware & Equipment,11827.9,3.4,61876.0,12.9,19.1,13258.5,28.9,21.4,20300.4,26.4,32.8,107400.0,4.6,195031.1,35.5
8,ROCHE,Switzerland,RoW,Pharmaceuticals & Biotechnology,9797.9,6.3,50418.5,6.7,19.4,3585.9,15.2,7.1,13099.1,19.4,26.0,94442.0,0.8,150048.6,-1.1
9,JOHNSON & JOHNSON,US,US,Pharmaceuticals & Biotechnology,9410.5,2.1,71249.7,6.7,13.2,3205.2,11.9,4.5,16675.1,0.6,23.4,135100.0,0.8,315581.0,1.7
10,DAIMLER,Germany,EU,Automobiles & Parts,9041.0,4.4,167362.0,2.0,5.4,7534.0,11.7,4.5,10873.0,-23.8,6.5,298683.0,3.2,59600.6,-9.1
11,FACEBOOK,US,US,Software & Computer Services,8972.0,32.5,48766.8,37.4,18.4,12152.8,106.7,24.9,21758.1,23.3,44.6,35587.0,41.8,370134.7,4.0
12,MERCK US,US,US,Pharmaceuticals & Biotechnology,8455.9,-4.7,36938.0,5.4,22.9,2283.8,38.5,6.2,9743.2,19.4,26.4,69000.0,0.0,159315.9,4.7
13,TOYOTA MOTOR,Japan,Japan,Automobiles & Parts,8264.7,-1.4,238184.3,2.9,3.5,29463.2,3.9,12.4,19444.7,2.8,8.2,370870.0,0.5,178191.5,12.1
14,NOVARTIS,Switzerland,RoW,Pharmaceuticals & Biotechnology,7998.2,4.2,46433.2,6.0,17.2,1548.5,4.5,3.3,7134.5,-5.3,15.4,125161.0,2.9,181838.1,-3.2
15,FORD MOTOR,US,US,Automobiles & Parts,7161.6,2.5,140033.1,2.3,5.1,6799.1,10.4,4.9,2797.4,-34.4,2.0,199000.0,-1.5,32413.1,-13.7
16,BMW,Germany,EU,Automobiles & Parts,6890.0,12.8,97480.0,-0.8,7.1,7777.0,9.4,8.0,8975.0,-8.3,9.2,134682.0,3.7,50212.4,6.9
17,PFIZER,US,US,Pharmaceuticals & Biotechnology,6816.6,5.5,46853.3,2.1,14.5,1783.4,4.4,3.8,11829.7,-10.8,25.2,92400.0,2.4,212571.8,20.7
18,GENERAL MOTORS,US,US,Automobiles & Parts,6812.2,6.8,128427.0,1.0,5.3,22268.1,-7.7,17.3,3882.1,-48.7,3.0,173000.0,-3.9,44421.4,-4.1
19,HONDA MOTOR,Japan,Japan,Automobiles & Parts,6580.1,12.2,125205.4,3.4,5.3,3315.7,1.3,2.6,5723.9,-12.9,4.6,219722.0,1.9,46991.4,6.8
20,ROBERT BOSCH,Germany,EU,Automobiles & Parts,6189.0,4.3,78465.0,0.5,7.9,3095.0,-43.5,3.9,5741.0,19.0,7.3,409881.0,1.9, , 
21,SIEMENS,Germany,EU,Electronic & Electrical Equipment,5909.0,6.7,83044.0,0.0,7.1,2602.0,8.1,3.1,6083.0,-19.1,7.3,379000.0,1.9,95149.0,1.7
22,SANOFI,France,EU,Pharmaceuticals & Biotechnology,5890.0,8.1,34463.0,-1.7,17.1,1977.0,1.1,5.7,4767.0,-19.0,13.8,104226.0,-2.2,92226.3,-10.5
23,CISCO SYSTEMS,US,US,Technology Hardware & Equipment,5530.1,4.5,43082.9,2.8,12.8,728.4,-13.5,1.7,11098.7,-0.2,25.8,74200.0,1.8,190718.4,35.6
24,BRISTOL-MYERS SQUIBB,US,US,Pharmaceuticals & Biotechnology,5472.5,5.3,19703.9,8.6,27.8,830.6,-9.9,4.2,6775.5,19.9,34.4,23300.0,-1.7,86437.8,-0.2
25,ORACLE,US,US,Software & Computer Services,5262.9,-1.1,34503.0,0.3,15.3,1449.8,-4.4,4.2,12246.3,0.8,35.5,136000.0,-0.7,168912.2,-7.1
26,BAYER,Germany,EU,Pharmaceuticals & Biotechnology,5109.0,-1.0,39586.0,-14.1,12.9,2593.0,9.6,6.6,-361.0,-103.2,-0.9,116998.0,17.2,74697.4,-16.1
27,QUALCOMM,US,US,Technology Hardware & Equipment,4881.2,2.3,19853.3,2.0,24.6,684.7,13.6,3.4,2405.2,-43.5,12.1,35400.0,4.7,88160.5,30.8
28,ALIBABA GROUP HOLDING,China,China,Software & Computer Services,4770.8,64.5,48025.9,50.6,9.9,4121.0,8.4,8.6,7274.9,-17.6,15.1,101958.0,53.5,173559.5,-54.8
29,ASTRAZENECA,UK,EU,Pharmaceuticals & Biotechnology,4631.4,-2.7,19292.6,-1.7,24.0,910.9,-21.3,4.7,1318.8,-29.5,6.8,64400.0,5.6,81395.1,27.7
30,ABBVIE,US,US,Pharmaceuticals & Biotechnology,4566.8,5.0,28605.2,16.1,16.0,557.2,20.6,1.9,5715.3,-30.9,20.0,30000.0,3.4,126934.3,21.1
31,DELL TECHNOLOGIES,US,US,Technology Hardware & Equipment,4317.0,4.0,79144.9,14.7,5.5,1073.4,-10.1,1.4,6.1,-100.3,0.0,157000.0,8.3, , 
32,PANASONIC,Japan,Japan,Leisure Goods,4260.1,7.7,63063.1,0.3,6.8,2490.8,-19.9,3.9,3030.6,-4.1,4.8,249520.0,-9.0,25642.0,-9.5
33,IBM,US,US,Software & Computer Services,4150.2,-7.1,69511.8,0.6,6.0,2965.1,5.1,4.3,10848.0,3.7,15.6,350600.0,-4.4,116770.5,0.3
34,GLAXOSMITHKLINE,UK,EU,Pharmaceuticals & Biotechnology,4141.3,-3.3,34173.6,2.1,12.1,1490.2,-13.0,4.4,5868.8,29.4,17.2,95490.0,-3.0,85820.1,2.6
35,NISSAN MOTOR,Japan,Japan,Automobiles & Parts,4122.4,5.5,91207.3,-3.2,4.5,3329.9,6.0,3.7,2402.6,-45.4,2.6,138893.0,0.0,34590.5,-4.8
36,NOKIA,Finland,EU,Technology Hardware & Equipment,4044.0,-5.6,22563.0,-2.5,17.9,672.0,11.8,3.0,7.0,-94.4,0.0,103083.0,0.1,27020.0,-11.1
37,CELGENE,US,US,Pharmaceuticals & Biotechnology,3972.1,14.6,13345.8,17.5,29.8,288.2,18.3,2.2,4631.4,60.6,34.7,8852.0,18.5,58019.7,-38.9
38,DENSO,Japan,Japan,Automobiles & Parts,3919.7,11.2,42259.7,5.0,9.3,3232.8,17.9,7.6,2450.1,-23.4,5.8,171992.0,1.9,33508.5,0.4
39,SONY,Japan,Japan,Leisure Goods,3792.0,4.9,68287.3,1.4,5.6,2463.7,18.9,3.6,7046.7,21.7,10.3,114400.0,-2.5,63498.1,46.9
40,FIAT CHRYSLER AUTOMOBILES,Netherlands,EU,Automobiles & Parts,3683.0,-14.0,110412.0,-0.5,3.3,5392.0,-4.7,4.9,5032.0,-33.4,4.6,198545.0,1.0,23013.9,14.0
41,GILEAD SCIENCES,US,US,Pharmaceuticals & Biotechnology,3666.4,19.5,19324.9,-15.2,19.0,807.0,56.6,4.2,7311.8,-41.8,37.8,11000.0,10.0,85739.6,-10.2
42,PEUGEOT (PSA),France,EU,Automobiles & Parts,3649.0,24.7,74027.0,18.9,4.9,2510.0,6.8,3.4,4630.0,51.6,6.3,211013.0,22.0,21444.4,33.6
43,SAP,Germany,EU,Software & Computer Services,3612.0,8.4,24708.0,5.3,14.6,1458.0,14.4,5.9,5703.0,16.9,23.1,96498.0,9.0,126806.2,16.8
44,GENERAL ELECTRIC,US,US,General Industrials,3610.5,-13.9,106214.8,2.9,3.4,6720.5,4.4,6.3,-12261.1,172.4,-11.5,283000.0,-9.6,98220.5,-47.1
45,RENAULT,France,EU,Automobiles & Parts,3516.0,18.9,57419.0,-2.3,6.1,2635.0,15.0,4.6,2969.0,-19.9,5.2,183002.0,0.9,21942.6,-0.2
46,ERICSSON,Sweden,EU,Technology Hardware & Equipment,3484.0,11.3,20559.8,2.7,16.9,387.6,2.5,1.9,160.8,-105.3,0.8,95359.0,-5.3,23111.5,65.6
47,CONTINENTAL,Germany,EU,Automobiles & Parts,3367.0,5.4,44404.4,0.9,7.6,3124.4,9.6,7.0,4023.2,-8.2,9.1,243226.0,3.3,31750.9,-16.3
48,AIRBUS,Netherlands,EU,Aerospace & Defence,3308.0,9.3,63707.0,7.9,5.2,2003.0,-14.4,3.1,4939.0,91.2,7.8,133671.0,3.3,82489.2,50.8
49,BROADCOM,US,US,Technology Hardware & Equipment,3290.8,14.5,18207.9,18.2,18.1,554.6,-40.6,3.0,4613.1,96.7,25.3,15000.0,7.1,79089.3,-11.9
50,AMGEN,US,US,Pharmaceuticals & Biotechnology,3263.8,4.9,20739.7,3.9,15.7,644.5,11.1,3.1,9000.0,2.5,43.4,21500.0,3.4,112953.2,-0.3
51,ELI LILLY,US,US,Pharmaceuticals & Biotechnology,3214.1,-11.6,21446.0,7.4,15.0,1057.3,12.4,4.9,3374.2,35.9,15.7,38680.0,-4.9,99097.6,26.8
52,BOEHRINGER SOHN,Germany,EU,Pharmaceuticals & Biotechnology,3164.0,2.8,17498.0,-3.1,18.1,952.0,9.2,5.4,3472.0,-0.4,19.8,50370.0,1.5, , 
53,TENCENT,China,China,Software & Computer Services,2923.0,31.4,39850.4,31.5,7.3,2516.1,63.1,6.3,10546.2,-6.2,26.5,54309.0,21.2,360934.5,3.6
54,TAKEDA PHARMACEUTICAL,Japan,Japan,Pharmaceuticals & Biotechnology,2902.3,13.2,16526.5,18.5,17.6,612.1,15.9,3.7,1168.4,-25.5,7.1,49578.0,82.1,29138.9,-23.1
55,DOWDUPONT,US,US,Chemicals,2672.5,45.0,75089.0,37.6,3.6,3373.8,2.8,4.5,8023.6,55.9,10.7,98000.0,0.0,141324.2, 
56,BOEING,US,US,Aerospace & Defence,2650.7,5.0,88320.5,7.6,3.0,1503.9,-1.0,1.7,10372.0,17.1,11.7,153000.0,8.7,171996.2,39.0
57,LG ELECTRONICS,South Korea,RoW,Leisure Goods,2646.0,-0.2,48017.8,-0.1,5.5,3009.3,19.4,6.3,2116.1,9.5,4.4,37911.0,-0.1,9838.3,-5.8
58,HITACHI,Japan,Japan,Electronic & Electrical Equipment,2546.4,-2.9,74629.4,1.1,3.4,3013.0,8.4,4.0,5856.5,6.4,7.8,295941.0,-3.7,27633.3,-4.2
59,CANON,Japan,Japan,Technology Hardware & Equipment,2488.9,-4.3,31142.0,-3.1,8.0,1508.3,1.0,4.8,2702.5,3.5,8.7,195056.0,-1.4,37448.3,-7.6
60,TAIWAN SEMICONDUCTOR,Taiwan,RoW,Technology Hardware & Equipment,2441.0,6.4,29312.1,5.5,8.3,8968.1,-4.5,30.6,10949.4,-0.4,37.4,43228.0,-11.1,188641.9,18.2
61,HON HAI PRECISION INDUSTRY,Taiwan,RoW,Electronic & Electrical Equipment,2399.3,3.2,150437.8,12.5,1.6,1862.3,8.5,1.2,4166.5,24.4,2.8, , ,39641.7,-31.5
