World rank,Company,Country,Region,Industry,R&D 2019 (€million),R&D one-year growth (%),Net sales (€million),Net sales one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),Op.profits (€million),Op.profits one-year growth (%),Profitability (%),Employees,Employees one-year growth (%),Market cap (€million),Market cap one-year growth (%),,,,,,,
1,ALPHABET,US,US,Software & Computer Services,23160.1,24.36902486,144077.8,18.3000899, 16.1 ,20961.4,-6.328811806, 14.5 ,31981.5,10.2,22.2,118899.0,20.4,317430.6,-3.2,,,,,,,
2,MICROSOFT,US,US,Software & Computer Services,17152.4,14.17990045,127305.5,13.64557425, 13.5 ,13744.9,10.88689408, 10.8 ,47023.3,23.0,36.9,163000.0,13.2,936992.8,22.2,,,,,,,
3,HUAWEI INVESTMENT & HOLDING,China,China,Technology Hardware & Equipment,16712.7,31.22824218,109416.7,19.08355773, 15.3 ,5238.5,34.69828999, 4.8 ,9916.3,6.2,9.1,194000.0,3.2,,,,,,,,,
4,SAMSUNG ELECTRONICS,South Korea,RoW,Electronic & Electrical Equipment,15525.0,8.27088064,177139.8,-5.484865401, 8.8 ,22002.2,-6.407619891, 12.4 ,21349.3,-52.8,12.1,287439.0,-7.2,201949.7,-15.5,,,,,,,
5,APPLE,US,US,Technology Hardware & Equipment,14435.6,13.91542568,231595.2,-2.041077581, 6.2 ,9342.2,-21.1672801, 4.0 ,56907.6,-9.8,24.6,137000.0,3.8,839713.2,-14.2,,,,,,,
6,VOLKSWAGEN,Germany,EU,Automobiles & Parts,14306.0,4.882697947,252632.0,7.115993708, 5.7 ,14230.0,3.649209702, 5.6 ,15861.0,13.4,6.3,671205.0,1.0,43968.4,7.7,,,,,,,
7,FACEBOOK,US,US,Software & Computer Services,12106.1,32.38586586,62931.3,26.61091013, 19.2 ,13443.1,8.530362918, 21.4 ,25802.0,16.3,41.0,44942.0,26.3,397606.1,5.4,,,,,,,
8,INTEL,US,US,Technology Hardware & Equipment,11894.3,-1.336483792,64060.0,1.576614724, 18.6 ,14432.1,6.797971148, 22.5 ,19964.4,-3.5,31.2,110800.0,3.2,186956.0,-5.9,,,,,,,
9,ROCHE,Switzerland,RoW,Pharmaceuticals & Biotechnology,10753.2,5.874898164,56511.3,8.127220912, 19.0 ,3220.6,-13.35641849, 5.7 ,16133.5,18.8,28.5,97735.0,3.5,174788.7,12.4,,,,,,,
10,JOHNSON & JOHNSON,US,US,Pharmaceuticals & Biotechnology,10107.7,5.382830626,73045.2,0.585920741, 13.8 ,3113.8,-4.686648501, 4.3 ,15765.5,-7.2,21.6,132200.0,-2.1,301551.8,-6.2,,,,,,,
11,DAIMLER,Germany,EU,Automobiles & Parts,9630.0,6.514766066,172745.0,3.216381257, 5.6 ,7199.0,-4.446509158, 4.2 ,4680.0,-57.0,2.7,298655.0,0.0,45773.0,-23.2,,,,,,,
12,TOYOTA MOTOR,Japan,Japan,Automobiles & Parts,9057.9,5.870423342,244156.3,-0.978270762, 3.7 ,29327.6,-3.844887527, 12.0 ,19927.9,-1.0,8.2,359542.0,-3.1,185262.4,0.4,,,,,,,
13,MERCK US,US,US,Pharmaceuticals & Biotechnology,8234.8,-4.451559595,41694.9,10.74856954, 19.8 ,3091.5,32.81070746, 7.4 ,11153.6,12.3,26.8,71000.0,2.9,197076.4,21.4,,,,,,,
14,NOVARTIS,Switzerland,RoW,Pharmaceuticals & Biotechnology,7713.2,-5.383271457,44940.4,-5.040815559, 17.2 ,1227.5,-22.22222222, 2.7 ,8151.1,12.1,18.1,103914.0,-17.0,206827.9,9.7,,,,,,,
15,GILEAD SCIENCES,US,US,Pharmaceuticals & Biotechnology,7393.6,97.85612196,19983.1,1.455235685, 37.0 ,734.4,-10.71428571, 3.7 ,3969.2,-46.7,19.9,11800.0,7.3,71631.3,-18.0,,,,,,,
16,PFIZER,US,US,Pharmaceuticals & Biotechnology,7373.2,6.124279308,46065.5,-3.536078439, 16.0 ,1937.0,6.562193928, 4.2 ,12084.7,0.2,26.2,88300.0,-4.4,175030.1,-19.2,,,,,,,
17,HONDA MOTOR,Japan,Japan,Automobiles & Parts,6834.8,0.33963583,121800.9,-6.027006631, 5.6 ,3019.9,-12.01921248, 2.5 ,5168.9,-12.8,4.2,218674.0,-0.5,37289.4,-23.3,,,,,,,
18,FORD MOTOR,US,US,Automobiles & Parts,6587.1,-9.756097561,138775.2,-2.767902805, 4.7 ,6793.7,-1.965317919, 4.9 ,471.8,-83.5,0.3,190000.0,-4.5,31989.6,-3.2,,,,,,,
19,BMW,Germany,EU,Automobiles & Parts,6419.0,-6.835994194,104210.0,6.903980304, 6.2 ,6902.0,-11.25112511, 6.6 ,7403.0,-17.5,7.1,133778.0,-0.7,36607.3,-27.1,,,,,,,
20,ROBERT BOSCH,Germany,EU,Automobiles & Parts,6229.0,0.646307966,77721.0,-0.948193462, 8.0 ,4946.0,59.80613893, 6.4 ,2903.0,-49.4,3.7,398150.0,-2.9,,,,,,,,,
21,SIEMENS,Germany,EU,Electronic & Electrical Equipment,6086.0,2.995430699,86849.0,4.581908386, 7.0 ,2610.0,0.307455803, 3.0 ,6742.0,10.8,7.8,385000.0,1.6,77273.5,-18.8,,,,,,,
22,GENERAL MOTORS,US,US,Automobiles & Parts,6053.1,-12.82051282,122162.2,-6.67260573, 5.0 ,21360.2,-5.886967094, 17.5 ,4878.9,23.3,4.0,164000.0,-5.2,47137.7,4.1,,,,,,,
23,SANOFI,France,EU,Pharmaceuticals & Biotechnology,6015.0,2.122241087,36126.0,4.825464991, 16.7 ,1816.0,-8.143651998, 5.0 ,3125.0,-34.4,8.7,100409.0,-3.7,97811.7,6.1,,,,,,,
24,CISCO SYSTEMS,US,US,Technology Hardware & Equipment,5854.5,3.869235629,46202.6,5.21792013, 12.7 ,809.2,8.992805755, 1.8 ,12907.2,14.1,27.9,75900.0,2.3,176893.4,-9.0,,,,,,,
25,BAYER,Germany,EU,Pharmaceuticals & Biotechnology,5628.0,10.15854375,46287.0,16.92770171, 12.2 ,2650.0,2.198225993, 5.7 ,5960.0,-1751.0,12.9,103824.0,-11.3,63124.4,-15.5,,,,,,,
26,ALIBABA GROUP HOLDING,China,China,Software & Computer Services,5488.5,15.07947109,64938.0,35.25782552, 8.5 ,3142.0,-23.73206333, 4.8 ,11648.3,60.2,17.9,117600.0,15.3,260559.2,47.3,,,,,,,
27,ORACLE,US,US,Software & Computer Services,5400.6,0.680384998,34776.6,-1.108692351, 15.5 ,1392.2,-5.78313253, 4.0 ,12642.0,1.3,36.4,135000.0,-0.7,154586.8,-10.2,,,,,,,
28,BRISTOL-MYERS SQUIBB,US,US,Pharmaceuticals & Biotechnology,5373.9,-3.654644111,23273.1,15.88582066, 23.1 ,744.2,-12.09253417, 3.2 ,6771.4,-1.9,29.1,30000.0,28.8,69994.0,-20.6,,,,,,,
29,GLAXOSMITHKLINE,UK,Row,Pharmaceuticals & Biotechnology,5068.0,16.17135208,39425.2,9.516238929, 12.9 ,1477.5,-5.877976153, 3.7 ,7198.5,16.4,18.3,99437.0,4.1,99730.0,10.3,,,,,,,
30,ABBVIE,US,US,Pharmaceuticals & Biotechnology,4813.1,3.404092561,29611.9,1.566268739, 16.3 ,491.4,-13.47962382, 1.7 ,10624.9,82.4,35.9,30000.0,0.0,86519.1,-33.1,,,,,,,
31,QUALCOMM,US,US,Technology Hardware & Equipment,4805.1,-3.417427089,17423.0,-13.43593826, 27.6 ,789.6,13.1377551, 4.5 ,2889.4,-12.2,16.6,37000.0,4.5,84156.8,-6.3,,,,,,,
32,ASTRAZENECA,UK,Row,Pharmaceuticals & Biotechnology,4795.3,1.584009051,21705.5,10.3847895, 22.1 ,871.5,-6.136145733, 4.0 ,1515.0,12.7,7.0,70600.0,9.6,112133.8,30.8,,,,,,,
33,IBM,US,US,Software & Computer Services,4767.7,12.71043771,68672.8,-3.070698948, 6.9 ,2034.9,-32.66568483, 3.0 ,9975.1,-9.8,14.5,352600.0,0.6,106874.4,-10.2,,,,,,,
34,DELL TECHNOLOGIES,US,US,Technology Hardware & Equipment,4741.9,7.768561602,82031.3,1.691660873, 5.8 ,2004.6,83.23840521, 2.4 ,2537.8,40628.6,3.1,165000.0,5.1,7939.3,,,,,,,,
35,NISSAN MOTOR,Japan,Japan,Automobiles & Parts,4444.0,4.13585075,80587.6,-14.64787299, 5.5 ,3786.9,9.85637847, 4.7 ,-4740.5,-290.6,-5.9,136134.0,-2.0,22600.4,-36.9,,,,,,,
36,NOKIA,Finland,EU,Technology Hardware & Equipment,4411.0,9.075173096,23315.0,3.33289013, 18.9 ,690.0,2.678571429, 3.0 ,575.0,8114.3,2.5,98322.0,-4.6,25359.0,-6.1,,,,,,,
37,UBER TECHNOLOGIES,US,US,Software & Computer Services,4304.8,221.3289037,12593.0,24.4567608, 34.2 ,523.4,5.376344086, 4.2 ,-7651.8,192.8,-60.8,26900.0,20.8,49287.1,,,,,,,,
38,SAP,Germany,EU,Software & Computer Services,4283.0,18.57696567,27553.0,11.51448923, 15.5 ,817.0,-43.96433471, 3.0 ,4472.0,-21.6,16.2,100330.0,4.0,133440.1,5.2,,,,,,,
39,PANASONIC,Japan,Japan,Leisure Goods,4230.9,-4.063157835,61105.2,-6.399463783, 6.9 ,2234.5,-13.33921785, 3.7 ,2353.1,-25.0,3.9,259385.0,4.0,16412.8,-38.2,,,,,,,
40,FIAT CHRYSLER AUTOMOBILES,Netherlands,EU,Automobiles & Parts,4194.0,13.87455878,109844.0,-0.514436837, 3.8 ,4829.0,-10.44139466, 4.4 ,6323.0,25.7,5.8,191752.0,-3.4,18137.0,-22.7,,,,,,,
41,BROADCOM,US,US,Technology Hardware & Equipment,4180.2,24.62845011,20114.8,8.389293937, 20.8 ,384.5,-31.96850394, 1.9 ,3729.7,-20.5,18.5,19000.0,26.7,99799.8,23.8,,,,,,,
42,DENSO,Japan,Japan,Automobiles & Parts,4142.6,2.092811453,42039.9,-3.902757753, 9.9 ,3463.0,3.478199398, 8.2 ,549.0,-78.4,1.3,170932.0,-0.6,28654.8,-17.4,,,,,,,
43,SONY,Japan,Japan,Leisure Goods,4073.0,3.758920382,67380.7,-4.682860112, 6.0 ,3587.4,40.65870448, 5.3 ,6788.8,-6.9,10.1,111700.0,-2.4,62681.8,-4.6,,,,,,,
44,PEUGEOT (PSA),France,EU,Automobiles & Parts,4061.0,11.29076459,74731.0,0.951004363, 5.4 ,2765.0,10.15936255, 3.7 ,4668.0,0.8,6.2,208780.0,-1.1,18395.2,-14.2,,,,,,,
45,TAKEDA PHARMACEUTICAL,Japan,Japan,Pharmaceuticals & Biotechnology,4014.2,33.61136905,26848.1,56.93068552, 15.0 ,1036.7,63.60312577, 3.9 ,772.5,-7.2,2.9,47495.0,-4.2,46164.7,53.0,,,,,,,
46,TENCENT,China,China,Software & Computer Services,3871.4,32.48604815,48067.2,20.65757578, 8.1 ,2900.4,15.31175608, 6.0 ,13434.0,27.4,27.9,62885.0,15.8,354775.2,-4.1,,,,,,,
47,RENAULT,France,EU,Automobiles & Parts,3697.0,5.147895336,55537.0,-3.277660705, 6.7 ,2936.0,11.42314991, 5.3 ,2115.0,-28.8,3.8,179565.0,-1.9,15424.9,-29.7,,,,,,,
48,ERICSSON,Sweden,EU,Technology Hardware & Equipment,3681.6,7.649462625,21749.8,7.768049406, 16.9 ,489.9,28.75471696, 2.3 ,929.7,489.0,4.3,99417.0,4.3,22486.8,-0.9,,,,,,,
49,AMGEN,US,US,Pharmaceuticals & Biotechnology,3663.9,10.14182499,20795.8,-1.621257422, 17.6 ,550.1,-16.2601626, 2.6 ,8653.2,-5.7,41.6,23400.0,8.8,111367.0,-3.3,,,,,,,
50,CONTINENTAL,Germany,EU,Automobiles & Parts,3596.6,6.819126819,44478.4,0.166650152, 8.1 ,2977.5,-4.701702727, 6.7 ,-314.3,-107.8,-0.7,241458.0,-0.7,22084.7,-30.4,,,,,,,
51,AIRBUS,Netherlands,EU,Aerospace & Defence,3491.0,5.532043531,70478.0,10.62834539, 5.0 ,2192.0,9.435846231, 3.1 ,1335.0,-73.0,1.9,134931.0,0.9,97526.6,18.2,,,,,,,
52,BOEHRINGER SOHN,Germany,EU,Pharmaceuticals & Biotechnology,3462.0,9.418457649,18997.0,8.566693336, 18.2 ,1073.0,12.71008403, 5.6 ,3782.0,8.9,19.9,51015.0,1.3,,,,,,,,,
53,ELI LILLY,US,US,Pharmaceuticals & Biotechnology,3251.6,-0.744524754,19867.8,3.843988592, 16.4 ,920.3,-14.59606811, 4.6 ,4497.2,37.9,22.6,33625.0,-13.1,97084.7,-3.9,,,,,,,
54,CHINA STATE CONSTRUCTION ENGINEERING,China,China,Construction & Materials,2786.5,37.46208243,178128.1,18.42613646, 1.6 ,2603.7,9.733551532, 1.5 ,11355.3,-2.5,6.4,335038.0,10.6,28670.7,0.1,,,,,,,
55,LG ELECTRONICS,South Korea,RoW,Leisure Goods,2773.1,6.707726035,47903.1,1.572358714, 5.8 ,1956.4,-33.80974416, 4.1 ,1873.0,-9.9,3.9,40110.0,5.8,7712.6,-20.2,,,,,,,
56,GENERAL ELECTRIC,US,US,General Industrials,2772.8,-24.64925012,84756.1,-1.852348163, 3.3 ,5174.5,-12.28308435, 6.1 ,4332.4,-130.5,5.1,205000.0,-27.6,64089.7,-36.0,,,,,,,
57,HON HAI PRECISION INDUSTRY,Taiwan,RoW,Electronic & Electrical Equipment,2706.8,8.430722494,157972.8,0.925761174, 1.7 ,2292.1,18.29410128, 1.5 ,3637.8,-16.1,2.3,,,30414.0,-26.3,,,,,,,
58,TAIWAN SEMICONDUCTOR,Taiwan,RoW,Technology Hardware & Equipment,2703.0,6.43010702,31636.6,3.733672681, 8.5 ,13613.5,45.89624753, 43.0 ,11043.4,-2.9,34.9,51297.0,18.7,198573.5,1.2,,,,,,,
59,RAYTHEON TECHNOLOGIES,US,US,Aerospace & Defence,2683.8,22.46141348,68582.9,15.85690441, 3.9 ,2008.2,18.61198738, 2.9 ,8396.8,7.8,12.2,243200.0,1.3,100041.4,6.7,,,,,,,
60,BOEING,US,US,Aerospace & Defence,2674.9,-0.988467875,75501.2,-16.12724594, 3.5 ,1632.5,6.504065041, 2.2 ,5597.3,-47.1,7.4,161100.0,5.3,182372.4,4.0,,,,,,,
61,NVIDIA,US,US,Technology Hardware & Equipment,2518.2,19.06565657,9718.7,-6.811198361, 25.9 ,435.3,-18.5, 4.5 ,2533.4,-25.2,26.1,13775.0,3.8,90807.9,-40.2,,,,,,,
62,SALESFORCE.COM,US,US,Software & Computer Services,2462.2,46.65959703,15219.9,28.73061286, 16.2 ,572.4,8.067226891, 3.8 ,412.1,-17.6,2.7,49000.0,40.0,121838.5,18.5,,,,,,,
63,CANON,Japan,Japan,Technology Hardware & Equipment,2435.1,-5.489770201,29312.6,-9.074992845, 8.3 ,1759.4,12.68136198, 6.0 ,1424.9,-49.1,4.9,187041.0,-4.1,30040.5,-22.5,,,,,,,
