World rank,Company,Country,Region,Industry-ICB3 sector name,R&D 2021 (€million),R&D one-year growth (%),Net sales (€million),Net sales one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),Op.profits (€million),Op.profits one-year growth (%),Profitability (%),Employees,Employees one-year growth (%),Market cap (€million),Market cap one-year growth (%)
1,ALPHABET,US,US,Software & Computer Services,27866.84729,14.4670511,227473.8906,41.15007643,12.2505696,21755.24736,10.58749607,9.563843703,69498.47974,90.94216961,30.55228869,156500,15.66802906,769312.7315,77.95674013
2,META,US,US,Software & Computer Services,21768.49122,33.65316854,104122.3444,37.1825743,20.90664722,16393.24991,22.83824016,15.74421898,41279.34577,43.10244559,39.64504066,71970,22.80731691,798490.603,28.29126233
3,MICROSOFT,US,US,Software & Computer Services,21642.23309,18.32400077,175057.3415,17.95607063,12.36293943,21089.52266,15.82775676,12.04720835,73531.67657,19.13937885,42.00433752,221000,22.09944751,2002997.331,32.92036478
4,HUAWEI INVESTMENT & HOLDING,China,China,Technology Hardware & Equipment,19533.84805,0.662086106,121786.3021,-1.42091437,16.03944591,4738.800465,-20.86515761,3.891078375,29810.12127,196.662824,24.47740078,195000,-1.015228426,,
5,APPLE,US,US,Technology Hardware & Equipment,19348.39654,16.86220137,322988.6089,33.25938473,5.990426907,9787.21254,51.66233411,3.030203626,96193.68688,64.35704803,29.78237753,154000,4.761904762,2215940.7,12.18324913
6,SAMSUNG ELECTRONICS,South Korea,RoW,Electronic & Electrical Equipment,16812.78524,6.476904069,208048.0259,18.07286658,8.081203928,37076.72218,23.73175501,17.82123239,38419.66179,43.45178052,18.46672739,,,340700.5654,42.03703704
7,VOLKSWAGEN,Germany,EU,Automobiles & Parts,15583,12.22902413,250200,12.25570252,6.228217426,10655,-5.482125432,4.258593125,18419,84.89259185,7.361710631,643297,-2.909557409,83746.48675,89.32621704
8,INTEL,US,US,Technology Hardware & Equipment,13411.61556,12.05370316,69772.18618,1.485866927,19.2220085,17948.962,40.65591919,25.72509617,19496.72777,-7.513821411,27.9434096,121100,9.493670886,193644.1504,1.214208333
9,ROCHE,Switzerland,RoW,Pharmaceuticals & Biotechnology,13260.78908,12.7951946,60752.175,7.677931519,21.8276779,3572.519263,4.676870737,5.880479609,17562.70978,-2.092433802,28.90877534,100920,-0.53713103,249938.4325,16.48716686
10,JOHNSON & JOHNSON,US,US,Pharmaceuticals & Biotechnology,12991.34374,21.01324122,82796.1981,13.55105105,15.69074913,3224.438448,9.112638183,3.894428152,22654.06399,20.26811662,27.361237,141700,5.353159851,402402.888,12.83980965
