Rank,Company,Year,Country,Region,Industry,R&D (€ million),R&D one-year growth (%),Net sales (€ million),Net sales one-year growth (%),R&D intensity (%),Capex (€ million),Capex one-year growth (%),Capex intensity (%),Op. profits (€ million),Op. profits one-year growth (%),Profitability (%),Employees,Employees one-year growth (%),Market cap (€ million),Market cap one-year growth (%)
1,ALPHABET,2022,US,US,Software & Computer Services,37033.5805,25.2,265175.4373,9.8,14.0,29519.04512,27.8,11.1,70168.79068,-4.9,26.5,190234,21.6,608369.9662,-25.5
2,META,2022,US,US,Software & Computer Services,31519.79602,36.4,109327.8174,-1.1,28.8,29468.41693,69.3,27.0,31459.79225,-28.2,28.8,86482,20.2,348387.4293,-58.9
3,MICROSOFT,2022,US,US,Software & Computer Services,25496.91701,10.9,198682.8155,6.9,12.8,26351.97081,17.7,13.3,84065.29018,7.7,42.3,221000,0.0,1828254.11,-14.0
4,APPLE,2022,US,US,Technology Hardware & Equipment,24611.86131,19.8,369705.7654,7.8,6.7,10039.38177,-3.4,2.7,111979.2343,9.6,30.3,164000,6.5,2368877.493,0.7
5,HUAWEI INVESTMENT & HOLDING,2022,China,China,Technology Hardware & Equipment,20925.03924,10.6,86205.23518,0.9,24.3,4726.043542,3.0,5.5,5665.615623,-65.2,6.6,207000,6.2,,
6,VOLKSWAGEN,2022,Germany,EU,Automobiles & Parts,18908,21.3,279232,11.6,6.8,12948,21.5,4.6,21230,15.3,7.6,646837,0.6,54311.2819,-35.1
7,SAMSUNG ELECTRONICS,2022,South Korea,RoW,Electronic & Electrical Equipment,18435.42836,10.3,223593.2547,8.1,8.2,39303.59483,6.6,17.6,32090.38889,-16.0,14.4,,,263664.7159,-22.2
8,INTEL,2022,US,US,Technology Hardware & Equipment,16433.53415,15.4,59116.84519,-20.2,27.8,23485.85295,23.2,39.7,2048.566415,-90.1,3.5,131900,8.9,122879.783,-40.2
9,ROCHE,2022,Switzerland,RoW,Pharmaceuticals & Biotechnology,14267.75408,2.5,64261.76126,0.8,22.2,3502.454363,-6.6,5.5,17746.85197,-3.7,27.6,103613,2.7,225022.5595,-14.2
10,JOHNSON & JOHNSON,2022,US,US,Pharmaceuticals & Biotechnology,13691.17408,-0.8,89014.66414,1.2,15.4,3758.674031,9.8,4.2,24339.03164,5.7,27.3,152700,7.8,397704.9098,-6.9
11,MERCK US,2022,US,US,Pharmaceuticals & Biotechnology,11080.07226,14.2,55581.3102,21.7,19.9,4114.008892,-1.3,7.4,17448.91055,21.7,31.4,69000,1.5,202738.4793,12.0
12,PFIZER,2022,US,US,Pharmaceuticals & Biotechnology,10712.54913,-1.5,94065.29447,23.4,11.4,3033.940924,19.4,3.2,34883.75771,35.5,37.1,83000,5.1,237996.2298,-1.7
13,GENERAL MOTORS,2022,US,US,Automobiles & Parts,9188.0782,24.1,146948.3099,23.4,6.3,19864.06253,-4.2,13.5,10150.01373,-22.2,6.9,167000,6.4,52233.33328,-21.7
14,ASTRAZENECA,2022,UK,RoW,Pharmaceuticals & Biotechnology,8943.375301,18.5,41581.67921,18.5,21.5,1022.876869,0.0,2.5,3319.896419,-1646.3,8.0,83500,0.5,186607.419,25.0
15,BRISTOL-MYERS SQUIBB,2022,US,US,Pharmaceuticals & Biotechnology,8823.367749,-10.5,43276.78588,-0.5,20.4,1048.190962,14.9,2.4,10583.16599,11.6,24.5,34300,6.5,134949.953,-3.1
