NAME,TAGLINE,HQ REGION,HQ COUNTRY,HQ CITY kész,LATITUDE,LONGITUDE,TOTAL FUNDING (EUR M) kész,TAGS,INDUSTRIES,SUB INDUSTRIES,GROWTH STAGE,INVESTORS,EACH INVESTOR TYPES,Closest FUA
Accure,"Improving the safety, reliability and longevity of battery systems through cloud computing",Europe,Germany,Aachen,50.7796344,6.1005005,9.57,sustainable development goals;climate tech,energy,energy efficiency;energy storage,late growth,Capnamic Ventures;42CAP;Blue Bear Capital;MK Venture Capital,venture_capital;venture_capital;venture_capital;angel_fund,Aachen
Liftra,Development and manufacturing of specialized lifting and transportation solutions for the global wind turbine industry,Europe,Denmark,Aalborg,57.009972,9.900337,1.94,wind energy;sustainable development goals;climate tech,energy;transportation,clean energy;logistics & delivery,late growth,European Innovation Council;Market Maturation Fund,government;venture_capital,Aalborg
Forida,Builds hybrid turbine towers for the wind industry,Europe,Denmark,Aalborg,57.048479,10.0482264,3.91,innovation management;sustainable development goals;wind energy;climate tech,energy,clean energy,early growth,VF Venture (Vækstfonden),venture_capital,Aalborg
Nordic Radar Solutions,"Focuses on developing state-of-the-art sensor-based solutions dedicated to civil aviation, wind power installations and military target scoring applications",Europe,Denmark,Aarhus,56.22035,10.28707,1.54,civil;wind energy,energy;robotics,clean energy,seed,European Innovation Council;Eurostars SME programme,government;government,Aarhus
Advanced Substrate Technologies,Develops technology for mushroom substrates,Europe,Denmark,Aarhus,56.4394387,10.1593172,1.58,biotechnology;primary production;sustainable development goals;climate tech,food;energy,agritech;clean energy;waste solution,seed,European Innovation Council;Executive Agency for Small and Medium-sized Enterprises,government;government,Aarhus
Cadel Deinking,Shares the efforts of industries to improve the quality of products with increasingly sustainable processes and methods,Europe,Spain,Alicante,38.3964181,-0.5248711,1.2,recycling;sustainable development goals;waste reduction;climate tech,energy,waste solution,early growth,European Innovation Council;Fashion For Good;MassChallenge,government;corporate;accelerator,Valencia
E-magy,Advanced materials company that supplies nano-porous silicon for high-energy lithium-ion batteries,Europe,Netherlands,Alkmaar,52.6774992,4.7917704,7.0,lithium ion batteries;sustainable development goals;ev battery;climate tech,energy;transportation,energy storage,early growth,PDENH;SHIFT Invest,venture_capital;venture_capital,Amsterdam
SCW Systems,Developing supercritical water gasification technology for clean energy production,Europe,Netherlands,Alkmaar,52.5970624,4.7508969,15.0,hydrogen;climate tech;sustainable development goals,energy,waste solution;clean energy;water,early growth,Invest-NL,government,Amsterdam
ANTECY,A process for production of fuels and chemicals out of ambient co2 and renewable energy,Europe,Netherlands,Amersfoort,52.177116,5.467554,2.0,oil & gas;oil & gas;solar energy,energy,clean energy;waste solution;oil & gas,seed,Generation-E;EIT InnoEnergy,venture_capital;venture_capital,Utrecht
Leap24,Charging network for electric vans and trucks,Europe,Netherlands,Amersfoort,52.1981869,5.3954859,4.25,climate tech;sustainable development goals;ev charging hardware,energy;transportation,,seed,Yard Energy;Rotterdam Mobility Lab,corporate;accelerator,Utrecht
