NAME,TAGLINE,HQ REGION,HQ COUNTRY,HQ CITY,LATITUDE,LONGITUDE,TOTAL FUNDING (EUR M),TAGS,INDUSTRIES,SUB INDUSTRIES,GROWTH STAGE,INVESTORS,EACH INVESTOR TYPES,Closest FUA,public and non-profit,investment entities,support programs,advisory and service provider
Northvolt,On a mission to establish a supply of sustainable batteries in Europe and enable the future of energy,Europe,Sweden,Stockholm,59.3363408,18.0279697,5024.08,lithium ion batteries;sustainable development goals;verified unicorns and $1b exits;ev battery production;ev battery;climate tech;nordic rising star 2022;top 50 nordic rising star 2022 sweden;battery;ev charging hardware,energy;transportation,energy storage,late growth,ABB Group;Swedish Energy Agency;European Investment Bank;Seci;Volkswagen Group;Goldman Sachs;Vargas Holding;Vattenfall;EIT InnoEnergy;BNP Paribas;Danske Bank;Danica Pension;Intesa Sanpaolo;ING Group;KFW;PFA Pension;Siemens;Societe Generale;UniCredit;Nordic Investment Bank;The Export-Import Bank of Korea;Sumitomo Mitsui Banking Corporation (SMBC Group);APG;SEB Group;Daniel Ek;Baillie Gifford;Norrsken VC;Första Ap-Fonden (Ap1);OMERS Capital Markets;AMF;ATP;Baron Capital;Bridford Investments;Cristina Stenbeck;IMAS Foundation;PCS Holding;Stena Metall;Scania;Compagnia di San Paolo;Andra Ap-Fonden (Ap2);Tredje Ap-Fonden (Ap3);Fjärde Ap-Fonden (Ap4);Ava;Folksam;Goldman Sachs Asset Management;Swedbank Robur;TM Capital;Olympia Group;Boundary Holding;Bridford Group,"investment entities;public and non-profit;public and non-profit;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,investment entities;investment entities;investment entities;public and non-profit;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities",Stockholm,3,45,0,0
H2 Green Steel,Large-scale steel producer based on a fossil-free manufacturing process targeting large European OEMs,Europe,Sweden,Stockholm,59.3251172,18.0710935,355.45,sustainable development goals;steel;hydrogen;industrial technology;climate tech;nordic rising star 2022;top 50 nordic rising star 2022 sweden;novel energy;green buildings;hydrogen novel energy;urban tech;circular economy;advanced materials,energy,clean energy,late growth,Vargas Holding;EIT InnoEnergy;Exor;FAM AB;Kingspan Group;Mercedes-Benz;Scania;SMS group;Cristina Stenbeck;Daniel Ek;Robert Maersk Uggla;Ane Maersk Uggla;Altor Equity Partners;Bilstein Group;IMAS Foundation;Stena Metall;Marcegaglia;FAM.se;Swedbank Robur;GIC;AMF;UniCredit;Societe Generale;ING Group;BNP Paribas;Swedish Export Credit Corporation;KFW;European Investment Bank;Euler Hermes;Swedish National Debt Office;Hitachi;Kobe Steel;Kinnevik;Just Climate;Schaeffler Production CZ,"investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;public and non-profit;investment entities;public and non-profit;investment entities;public and non-profit;investment entities;investment entities;investment entities;investment entities,investment entities;investment entities",Stockholm,3,30,0,0
Grover,Provides an online subscription platform intended for renting tech products,Europe,Germany,Berlin,52.5142878,13.4215092,216.6,smart home;sustainable development goals;consumer lending;climate tech;verified unicorns and $1b exits;circular economy;recycling,energy;home living,,late growth,Commerzbank;Global Founders Capital;Neosfer (previously Main Incubator);Seedcamp;KRW Schindler Private Ventures;K-Invest;Varengold;Circularity Capital;Coparion;Samsung Next;Eiffel Investment Group;Augmentum Fintech;Rocket Internet;Target Global;JMS Capital-Everglen;Viola Fintech;Assurant Ventures;Kreos Capital;Fasanara Capital;Energy Impact Partners (EIP);Co-Investor;Korelya Capital;Assurant;LG Electronics;Mirae Asset Capital;Hambro Perks;M&G Investments;Proximity Capital;SevenVentures;German Media Pool VC,"investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;advisory and service provider;investment entities;investment entities;investment entities",Berlin,0,27,0,1
Enpal,Germany's online solar provider,Europe,Germany,Berlin,52.5125051,13.434012,466,solar energy;urban tech;sustainable development goals;verified unicorns and $1b exits;climate tech;green buildings,energy,energy providers;clean energy,late growth,Spreadshirt;Lukasz Gadowski;Picus Capital;Robert Gentz;David Schneider;Rubin Ritter;Princeville Capital;HV Capital;E.R. Capital Holdings;FRIBA Investment;Peter Rive;Thomas Griesel;Christopher Muhr;UniCredit;BlackRock;Pricoa Capital Group;Softbank Capital;TA Ventures;Prime Capital;Blue Impact Ventures;UniCredit;ING Group;Infranity;SoftBank;The Westly Group;The Rise Fund (TPG);Activate Capital Partners;Heliad Equity Partners,"investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,investment entities;investment entities;investment entities;investment entities,investment entities,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,investment entities;investment entities;investment entities",Berlin,0,25,0,0
Orbital Systems,A Swedish clean-tech company that develops a water recycling technology to be used in domestic appliances,Europe,Sweden,Malmo,55.6075041,13.00302,74.95,appliances;recycling;waste reduction;home improvement;sustainable development goals;climate tech;nordic rising star 2022;circular economy,energy;home living,water,late growth,Niklas Zennström;Dendera Venture;Swedish Energy Agency;Minc;Johan Persson;Nils Idoff;Stena Ventures;af Jochnick Foundation;Sandberg Development;European Investment Bank;Peter Carlsson;Vinnova;Investment AB Öresund;Formica Capital;NREP;Soläng Invest;K2A;M2 Asset Management AB;Stena AB;Philian Invest;Polar Growth;Vatio;The C. Ehrnrooth Foundation;Rutger Arnhult;Amazon Alexa Fund,investment entities;investment entities;public and non-profit;support programs;investment entities;investment entities;investment entities;investment entities;investment entities;public and non-profit;investment entities;public and non-profit;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Malmo,3,21,1,0
Avantium Technologies,"Provides high-throughput RandD technologies for applications in the energy, chemicals and pharmaceutical industries",Europe,Netherlands,Amsterdam,52.3959411,4.8522245,234.92,biofuel;biotechnology;chemistry;sustainable development goals;chemical;biopolymers;industrial technology;advanced materials;innovative material tech;polymers and polymer alternatives;chemical technology;climate tech,health;energy,pharmaceutical,late growth,Capricorn Partners;Aster Capital;ING Bank Corporate Finance;Aescap;Navitas Capital;Sofinnova Partners;Danone;PMV;De Hoge Dennen Capital;ALPLA;FPIM;Eurostars SME programme;European Innovation Council;Thuja Capital;Horizon 2020 FTI (Fast Track to Innovation);Molten Ventures (Formerly Draper Esprit);Signet Healthcare Partners;SFPI-FPIM;Quest for Growth;Eindhoven University of Technology (TU/e);Invest-NL;ABN AMRO;Rabobank;ING Group;ASN Bank,investment entities;investment entities;advisory and service provider;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;public and non-profit;public and non-profit;investment entities;public and non-profit;investment entities;investment entities;investment entities;investment entities;public and non-profit;investment entities;investment entities;investment entities;investment entities;investment entities,Amsterdam,4,20,0,1
Carbo Culture,Developer of a technique to convert methane-emitting waste biomass into high-carbon charcoal. The company's technology intends to transform how charcoal is sourced for industry and agriculture,Europe,Finland,Helsinki,60.161492,24.9273636,8.35,nordic rising star 2022;biochar;carbon capture and storage,energy,waste solution;clean energy,early growth,Wave Ventures;David Helgason;Mika Ihamuotila;Bragiel Brothers;Lifeline Ventures;Starlight Ventures;Maria 01;True Ventures;Cherry Ventures;Übermorgen Ventures;Moaffak Ahmed;Paul Bragiel;Dan Bragiel;Albert Wenger;Maija Itkonen;Climate Capital;PowerBank Ventures;Auxxo Female Catalyst Fund;EIC Fund (European Innovation Council Fund);StartX;European Innovation Council,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;support programs;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;public and non-profit,Helsinki,1,19,1,0
Karma,"An app that connects restaurants, cafes and grocery stores with users eager to purchase unsold food at a lower price",Europe,Sweden,Stockholm,59.330381,18.058744,17.96,superfood;food waste;social entrepreneurship;groceries;sustainable development goals;climate tech;nordic rising star 2022;waste reduction;circular economy,food;energy,food logistics & delivery;in-store retail & restaurant tech;waste solution,late growth,Propel Capital;DHS Venture Partners;Magnus Bergman;Mattias Miksche;Sophia Bendz;Filip Engelbert;Jonas Nordlander;Norrsken VC;Headline (formerly e.ventures);Eequity;Kinnevik;Bessemer Venture Partners;Electrolux;Lars Lindgren;Daniel Frodin;Daniel Lauren;Foxhelm Ventures;Johan Siwers;Sting;SUP46;Rocketship;J12 Ventures;Otiva,"investment entities,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;support programs;support programs;investment entities;investment entities;investment entities",Stockholm,0,19,2,0
Heliatek,"Develops, produces and distributes industrial-grade organic PV solar solutions for virtually any building surface",Europe,Germany,Dresden,51.07899955,13.69401069,117.55,organic;solar energy;sustainable development goals;smart building;climate tech,energy,clean energy,late growth,GP Bullhound;Technologiegründerfonds Sachsen;Wellington Partners;High-Tech Gründerfonds;BASF Venture Capital;ECAPITAL;BNP Paribas;Engie Rassembleurs d’Energies;Innogy Ventures;CEE Group;Aqton;European Investment Bank;Tudag;BASF;Innogy Innovation Hub;Innogy Venture Capital;ENGIE New Ventures;Future Energy Ventures;Bosch;Robert Bosch Venture Capital;Vincent RUINET,"advisory and service provider,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;public and non-profit;investment entities;investment entities;support programs;investment entities;investment entities;investment entities,investment entities;investment entities;investment entities;investment entities",Dresden,1,17,1,0
Matsmart - Motatos,"Online food retailer, on a mission to reduce food waste",Europe,Sweden,Stockholm,59.316254,18.0755987,139.62,food waste;nordic rising star 2022;sustainable development goals;throw-away economy;climate tech;top 50 nordic rising star 2022 sweden;waste reduction;circular economy,food;energy,food logistics & delivery;waste solution,late growth,Northzone;GP Bullhound;Inbox;Filip Engelbert;Jonas Nordlander;D-Ax;Norrsken VC;IKEA;Inbox Capital;LeadX Capital Partners;SEB Private Equity;Gullspang Invest;Edastra;Blume Equity;Gullspång Re:food;Novax;Ingka Group;Otiva;Exor;Norrsken Foundation,"investment entities;advisory and service provider,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;public and non-profit",Stockholm,1,17,0,0
