FUA,Count,COUNTRY,Latitude,Longitude
Berlin,7,Germany,52.510885,13.3989367
Madrid,5,Spain,40.4167047,-3.7035825
Helsinki,5,Finland,60.1674881,24.9427473
Paris,5,France,48.8534951,2.3483915
Dublin,4,Ireland,53.3493795,-6.2605593
Vienna,4,Austria,48.2083537,16.3725042
Bucharest,4,Romania,44.4361414,26.1027202
Riga,4,Latvia,56.9493977,24.1051846
Copenhagen,4,Denmark,55.6867243,12.5700724
Amsterdam,3,Netherlands,52.3730796,4.8924534
Tallinn,3,Estonia,59.4372155,24.7453688
Brussels,3,Belgium,50.8465573,4.351697
Ljubljana,3,Slovenia,46.0500268,14.5069289
Vilnius,2,Lithuania,54.6870458,25.2829111
Sofia,2,Bulgaria,42.6977028,23.3217359
Porto,2,Portugal,41.1494512,-8.6107884
Rotterdam,2,Netherlands,51.9244424,4.47775
Barcelona,2,Spain,41.3828939,2.1774322
Athens,2,Greece,37.9755648,23.7348324
Malmo,2,Sweden,55.6052931,13.0001566
Lisbon,2,Portugal,38.7077507,-9.1365919
Munich,2,Germany,48.1371079,11.5753822
Budapest,1,Hungary,47.4978789,19.0402383
Warsaw,1,Poland,52.2319581,21.0067249
Valletta,1,Malta,35.8989979,14.5136607
Cologne,1,Germany,50.938361,6.959974
Leipzig,1,Germany,51.3406321,12.3747329
Stockholm,1,Sweden,59.3251172,18.0710935
Gothenburg,1,Sweden,57.7072326,11.9670171
Newcastle upon Tyne,1,United Kingdom,54.9738474,-1.6131572
Oulu,1,Finland,65.0118734,25.4716809
Leiden,1,Netherlands,52.1594747,4.4908843
Nice,1,France,43.7009358,7.2683912
Limerick,1,Ireland,52.661252,-8.6301239
Hamburg,1,Germany,53.550341,10.000654
Rome,1,Italy,41.8933203,12.4829321
Reykjavik,1,,52.0219769,4.2966773
Charleroi,1,,50.4073222,4.3258288
Wroclaw,1,Poland,51.1089776,17.0326689
Frankfurt,1,Germany,50.1106444,8.6820917
Eindhoven,1,Netherlands,51.4392648,5.478633
Valencia,1,Spain,39.4697065,-0.3763353
Stuttgart,1,Germany,48.7784485,9.1800132
