Investor,City,Country,Latitude,Longitude
ABB Group,Zurich, Switzerland,47.3744489,8.5410422
Swedish Energy Agency,Eskilstuna, Sweden,59.3717379,16.5051474
European Investment Bank,Luxembourg,Luxembourg,49.8158683,6.1296751
Seci (Solar Energy Corporation of India),New Delhi, India,28.6419258,77.2217499
Volkswagen Group,Wolfsburg, Germany,52.4205588,10.7861682
Goldman Sachs,New York City, USA,40.7127281,-74.0060152
Vargas Holding,Stockholm, Sweden,59.3251172,18.0710935
Vattenfall,Solna, Sweden,59.361367,18.0013693
EIT InnoEnergy,Eindhoven, Netherlands,51.4392648,5.478633
BNP Paribas,Paris, France,48.8534951,2.3483915
Danske Bank,Copenhagen, Denmark,55.6867243,12.5700724
Danica Pension,Kongens Lyngby, Denmark,55.7718649,12.5051413
Intesa Sanpaolo,Turin, Italy,45.0677551,7.6824892
ING Group,Amsterdam, Netherlands,52.3730796,4.8924534
KFW,Frankfurt, Germany,50.1106444,8.6820917
PFA Pension,Copenhagen, Denmark,55.6867243,12.5700724
Siemens,Munich, Germany,48.1371079,11.5753822
Societe Generale,Paris, France,48.8534951,2.3483915
UniCredit,Milan, Italy,45.4641943,9.1896346
Nordic Investment Bank,Helsinki, Finland,60.1674881,24.9427473
The Export-Import Bank of Korea,Seoul, South Korea,37.5666791,126.9782914
Sumitomo Mitsui Banking Corporation (SMBC Group),Tokyo, Japan,35.6768601,139.7638947
APG,Heerlen, Netherlands,50.8775239,5.9815066
SEB Group,Stockholm, Sweden,59.3251172,18.0710935
Daniel Ek,Stockholm, Sweden,59.3251172,18.0710935
Baillie Gifford,Edinburgh, Scotland,55.9533456,-3.1883749
Norrsken VC,Stockholm, Sweden,59.3251172,18.0710935
Första Ap-Fonden (Ap1),Stockholm, Sweden,59.3251172,18.0710935
OMERS Capital Markets,Toronto, Canada,43.6534817,-79.3839347
AMF,Stockholm, Sweden,59.3251172,18.0710935
ATP,Hillerød, Denmark,55.9285735,12.3063909
Baron Capital,New York City, USA,40.7127281,-74.0060152
Bridford Investments,London, UK,51.4893335,-0.1440551
Cristina Stenbeck,Stockholm, Sweden,59.3251172,18.0710935
IMAS Foundation,Stockholm, Sweden,59.3251172,18.0710935
PCS Holding,Winterthur, Switzerland,47.4991723,8.7291498
Stena Metall,Gothenburg, Sweden,57.7072326,11.9670171
Scania,Södertälje, Sweden,59.1964289,17.6271663
Compagnia di San Paolo,Turin, Italy,45.0677551,7.6824892
Andra Ap-Fonden (Ap2),Gothenburg, Sweden,57.7072326,11.9670171
Tredje Ap-Fonden (Ap3),Stockholm, Sweden,59.3251172,18.0710935
Fjärde Ap-Fonden (Ap4),Stockholm, Sweden,59.3251172,18.0710935
Ava,Helsinki, Finland,60.1674881,24.9427473
Folksam,Stockholm, Sweden,59.3251172,18.0710935
Goldman Sachs Asset Management,New York City, USA,40.7127281,-74.0060152
Swedbank Robur,Stockholm, Sweden,59.3251172,18.0710935
TM Capital,Boston, USA,42.3554334,-71.060511
Olympia Group,Athens, Greece,37.9755648,23.7348324
