FUA,Count,COUNTRY,Latitude,Longitude
Paris,344,France,48.8534951,2.3483915
Stockholm,173,Sweden,59.3251172,18.0710935
Berlin,153,Germany,52.510885,13.3989367
Helsinki,118,Finland,60.1674881,24.9427473
Amsterdam,90,Netherlands,52.3730796,4.8924534
Munich,60,Germany,48.1371079,11.5753822
Brussels,57,Belgium,50.8465573,4.351697
Madrid,48,Spain,40.4167047,-3.7035825
Tallinn,45,Estonia,59.4372155,24.7453688
Copenhagen,43,Denmark,55.6867243,12.5700724
Milan,42,Italy,45.4641943,9.1896346
Bilbao,27,Spain,43.2630018,-2.9350039
Dusseldorf,26,Germany,51.2254018,6.7763137
Hamburg,26,Germany,53.550341,10.000654
Warsaw,25,Poland,52.2319581,21.0067249
Frankfurt,24,Germany,50.1106444,8.6820917
Barcelona,22,Spain,41.3828939,2.1774322
Stuttgart,21,Germany,48.7784485,9.1800132
Prague,18,Czech Republic,50.0596288,14.4464593
Enschede,18,Netherlands,52.2209855,6.8940537
Aachen,17,Germany,50.776351,6.083862
Utrecht,17,Netherlands,52.0907006,5.1215634
The Hague,16,Netherlands,52.0799838,4.3113461
Rotterdam,16,Netherlands,51.9244424,4.47775
Luxembourg,15,Luxembourg,49.8158683,6.1296751
Vienna,15,Austria,48.2083537,16.3725042
Lisbon,15,Portugal,38.7077507,-9.1365919
Eindhoven,15,Netherlands,51.4392648,5.478633
Dublin,13,Ireland,53.3493795,-6.2605593
Lyon,13,France,45.7578137,4.8320114
Malmo,12,Sweden,55.6052931,13.0001566
Gothenburg,12,Sweden,57.7072326,11.9670171
Nantes,12,France,47.2186371,-1.5541362
Bratislava,11,Slovakia,48.1516988,17.1093063
Turin,11,Italy,45.0677551,7.6824892
Cologne,11,Germany,50.938361,6.959974
Vilnius,10,Lithuania,54.6870458,25.2829111
Toulouse,9,France,43.6044622,1.4442469
Porto,8,Portugal,41.1494512,-8.6107884
Gent,8,Belgium,51.0538286,3.7250121
Grenoble,8,France,45.1875602,5.7357819
Rennes,8,France,48.1113387,-1.6800198
Rome,8,Italy,41.8933203,12.4829321
Lille,7,France,50.6365654,3.0635282
Bordeaux,7,France,44.841225,-0.5800364
Riga,7,Latvia,56.9493977,24.1051846
Aarhus,7,Denmark,56.1496278,10.2134046
Marseille,6,France,43.2961743,5.3699525
Leipzig,6,Germany,51.3406321,12.3747329
Cracow,6,Poland,50.0606452,19.9370985
Bonn,5,Germany,50.735851,7.10066
Montpellier,5,France,43.6112422,3.8767337
Odense,5,Denmark,55.3997225,10.3852104
Budapest,5,Hungary,47.4978789,19.0402383
Valencia,5,Spain,39.4697065,-0.3763353
Antwerp,5,Belgium,51.2211097,4.3997081
Dresden,5,Germany,51.0493286,13.7381437
Bucharest,4,Romania,44.4361414,26.1027202
Heidelberg,4,Germany,49.4093582,8.694724
St. Gallen,3,Switzerland,47.425618,9.3762397
Reykjavik,3,,52.0219769,4.2966773
Leiden,3,Netherlands,52.1594747,4.4908843
Geneva,3,Switzerland,46.2017559,6.1466014
Tampere,3,Finland,61.4980214,23.7603118
Trondheim,3,Norway,63.4304475,10.3952118
Graz,2,Austria,47.0708678,15.4382786
Linz,2,Austria,48.3059078,14.286198
Wroclaw,2,Poland,51.1089776,17.0326689
Uppsala,2,Sweden,59.8586126,17.6387436
Aalborg,2,Denmark,57.0462626,9.9215263
Ljubljana,2,Slovenia,46.0500268,14.5069289
Karlsruhe,2,Germany,49.0068705,8.4034195
Mainz,2,Germany,50.0012314,8.2762513
Oulu,2,Finland,65.0118734,25.4716809
Tubingen,1,Germany,48.5203263,9.053596
Valletta,1,Malta,35.8989979,14.5136607
Athens,1,Greece,37.9755648,23.7348324
Zagreb,1,Croatia,45.8426414,15.9622315
