FUA,Count,COUNTRY,Latitude,Longitude
Paris,86,France,48.8534951,2.3483915
Berlin,50,Germany,52.510885,13.3989367
Stockholm,46,Sweden,59.3251172,18.0710935
Amsterdam,44,Netherlands,52.3730796,4.8924534
Munich,38,Germany,48.1371079,11.5753822
Helsinki,36,Finland,60.1674881,24.9427473
Copenhagen,32,Denmark,55.6867243,12.5700724
Gothenburg,29,Sweden,57.7072326,11.9670171
Grenoble,24,France,45.1875602,5.7357819
Madrid,23,Spain,40.4167047,-3.7035825
Utrecht,22,Netherlands,52.0907006,5.1215634
Milan,20,Italy,45.4641943,9.1896346
Hamburg,19,Germany,53.550341,10.000654
Eindhoven,19,Netherlands,51.4392648,5.478633
Lyon,19,France,45.7578137,4.8320114
Tallinn,18,Estonia,59.4372155,24.7453688
Barcelona,18,Spain,41.3828939,2.1774322
Nantes,17,France,47.2186371,-1.5541362
Toulouse,16,France,43.6044622,1.4442469
Marseille,15,France,43.2961743,5.3699525
Bilbao,14,Spain,43.2630018,-2.9350039
Rennes,14,France,48.1113387,-1.6800198
Vienna,12,Austria,48.2083537,16.3725042
Dublin,11,Ireland,53.3493795,-6.2605593
Porto,11,Portugal,41.1494512,-8.6107884
Reykjavik,11,,52.0219769,4.2966773
Aachen,11,Germany,50.776351,6.083862
Frankfurt,10,Germany,50.1106444,8.6820917
Rotterdam,10,Netherlands,51.9244424,4.47775
Montpellier,9,France,43.6112422,3.8767337
Brussels,9,Belgium,50.8465573,4.351697
Lisbon,9,Portugal,38.7077507,-9.1365919
Rome,8,Italy,41.8933203,12.4829321
Tampere,8,Finland,61.4980214,23.7603118
Bordeaux,8,France,44.841225,-0.5800364
Oulu,7,Finland,65.0118734,25.4716809
Antwerp,7,Belgium,51.2211097,4.3997081
Cologne,7,Germany,50.938361,6.959974
Valencia,7,Spain,39.4697065,-0.3763353
Dresden,7,Germany,51.0493286,13.7381437
Aarhus,7,Denmark,56.1496278,10.2134046
Leipzig,7,Germany,51.3406321,12.3747329
Nice,6,France,43.7009358,7.2683912
Warsaw,6,Poland,52.2319581,21.0067249
Lille,6,France,50.6365654,3.0635282
Stuttgart,6,Germany,48.7784485,9.1800132
Enschede,6,Netherlands,52.2209855,6.8940537
Uppsala,6,Sweden,59.8586126,17.6387436
Turin,6,Italy,45.0677551,7.6824892
Malmo,6,Sweden,55.6052931,13.0001566
Luxembourg,6,Luxembourg,49.8158683,6.1296751
The Hague,5,Netherlands,52.0799838,4.3113461
Prague,5,Czech Republic,50.0596288,14.4464593
Bratislava,5,Slovakia,48.1516988,17.1093063
Basel,5,Switzerland,47.5581077,7.5878261
Turku,5,Finland,60.4517531,22.2670522
Odense,5,Denmark,55.3997225,10.3852104
Heidelberg,4,Germany,49.4093582,8.694724
Linkoping,4,Sweden,58.4098135,15.6245252
Limerick,4,Ireland,52.661252,-8.6301239
Leiden,4,Netherlands,52.1594747,4.4908843
Aalborg,4,Denmark,57.0462626,9.9215263
Gent,3,Belgium,51.0538286,3.7250121
Galway,3,Ireland,53.2744122,-9.0490601
Graz,3,Austria,47.0708678,15.4382786
Riga,3,Latvia,56.9493977,24.1051846
Vilnius,3,Lithuania,54.6870458,25.2829111
Dusseldorf,3,Germany,51.2254018,6.7763137
Zagreb,2,Croatia,45.8426414,15.9622315
Mainz,2,Germany,50.0012314,8.2762513
Budapest,2,Hungary,47.4978789,19.0402383
Tubingen,2,Germany,48.5203263,9.053596
Ljubljana,2,Slovenia,46.0500268,14.5069289
Wroclaw,2,Poland,51.1089776,17.0326689
Linz,2,Austria,48.3059078,14.286198
Athens,2,Greece,37.9755648,23.7348324
Cork,2,Ireland,51.897077,-8.4654674
Cracow,2,Poland,50.0606452,19.9370985
St. Gallen,2,Switzerland,47.425618,9.3762397
Sofia,1,Bulgaria,42.6977028,23.3217359
Strasbourg,1,France,48.584614,7.7507127
Charleroi,1,,50.4073222,4.3258288
Bucharest,1,Romania,44.4361414,26.1027202
Bonn,1,Germany,50.735851,7.10066
Southampton,1,United Kingdom,50.9025349,-1.404189
Karlsruhe,1,Germany,49.0068705,8.4034195
Geneva,1,Switzerland,46.2017559,6.1466014
