#,Investor Name,HQ Country,HQ City,Latitude,Longitude
1,+Impact,Sweden,Stockholm,59.3251172,18.0710935
2,1Kubator,France,Lyon,45.7578137,4.8320114
3,5starts,Austria,Vienna,48.2083537,16.3725042
4,21st by CentraleSupélec,France,Gif-Sur-Yvette,48.7018823,2.134529
5,70Ventures,Lithuania,Vilnius,54.6870458,25.2829111
6,321founded,France,Paris,48.8534951,2.3483915
7,A1 Start Up Campus,Austria,Vienna,48.2083537,16.3725042
8,Accelerace,Denmark,Copenhagen,55.6867243,12.5700724
9,AccelGrow,Spain,Barcelona,41.3828939,2.1774322
10,Accelpoint,Poland,Warsaw,52.2319581,21.0067249
11,Acciona I'mnovation,Spain,Alcobendas,40.5400082,-3.6358494
12,Acciona Imnovation,Spain,Madrid,40.4167047,-3.7035825
14,Agoranov,France,Paris,48.8534951,2.3483915
15,Agro Innovation Lab,Austria,Gemeinde Wien,48.294579,16.4679227
16,AgTechUCD Agccelerator Pr…,Ireland,Dublin,53.3493795,-6.2605593
17,Airbus Bizlabs,France,Colomiers,43.6121001,1.3282149
18,Airbus Bizlabs (closed),France,Colomiers,43.6121001,1.3282149
19,Alhambra Venture,Spain,Peligros,37.2306631,-3.6279744
20,Antai Venture Builder,Spain,Barcelona,41.3828939,2.1774322
21,Antai Ventures,Spain,Barcelona,41.3828939,2.1774322
22,Arctic Business Incubator,Sweden,Lulea,65.5831187,22.1459535
23,Arete Investment,Hungary,Budapest,47.4978789,19.0402383
24,Arkley Launchpad,Poland,Warsaw,52.2319581,21.0067249
25,Astropreneurs,Portugal,Coimbra,40.2111931,-8.4294632
26,Axel Springer Plug and Play …,Germany,Berlin,52.510885,13.3989367
27,Axeltim,France,Lyon,45.7578137,4.8320114
28,B Accelerator Tower (BAT),Spain,Bilbao,43.2630018,-2.9350039
29,B4i - Bocconi for innovation,Italy,Milan,45.4641943,9.1896346
30,Baltic Sandbox,Lithuania,Vilnius,54.6870458,25.2829111
31,Bar Lab by Mahou San Miguel,Spain,Madrid,40.4167047,-3.7035825
32,Basque Culinary Center - Cu…,Spain,San Sebastian,43.3224219,-1.9838889
33,BBVA Spark,Spain,Madrid,40.4167047,-3.7035825
34,BEAZ,Spain,Bilbao,43.2630018,-2.9350039
35,"Berkeley SkyDeck Europe, M…",Italy,Milan,45.4641943,9.1896346
36,Berlin Founders Fund by Sili…,Germany,Berlin,52.510885,13.3989367
37,Berlin Innovation Agency,Germany,Berlin,52.510885,13.3989367
38,BerriUp,Spain,San Sebastian,43.3224219,-1.9838889
40,Beta-i,Portugal,Lisbon,38.7077507,-9.1365919
41,Beuth Hochschule Startup h…,Germany,Berlin,52.510885,13.3989367
42,BIC Araba,Spain,Vitoria,42.8465088,-2.6724025
43,BIC Bizkaia,Spain,Bilbao,43.2630018,-2.9350039
44,BIC Gipuzkoa,Spain,San Sebastian,43.3224219,-1.9838889
45,BIC Innov'up,France,Nimes,43.8374249,4.3600687
46,BIND - Basque Open Innova…,Spain,Bilbao,43.2630018,-2.9350039
47,BIND 4.0 - Basque Open Inn…,Spain,Bilbao,43.2630018,-2.9350039
48,BIO HUB VLC,Spain,Valencia,39.4697065,-0.3763353
49,BiovelocITA,Italy,Milan,45.4641943,9.1896346
50,Birdhouse,Belgium,Antwerp,51.2211097,4.3997081
51,Bitspiration Booster,Poland,Kraków,50.0619474,19.9368564
52,Blockchers,Spain,Navarra,42.6125488,-1.8307877
54,BlueHealth Innovation Center,Belgium,Winterslag,50.9771632,5.4858516
55,Borean Innovation,Denmark,Aalborg,57.0462626,9.9215263
56,Bosch Startup Harbour,Germany,Berlin,52.510885,13.3989367
58,BSH Accelerator,Germany,Munich,48.1371079,11.5753822
59,Building Global Innovators,Portugal,Lisbon,38.7077507,-9.1365919
60,Buildit Accelerator,Latvia,Riga,56.9493977,24.1051846
61,Built Environment Circular C…,Germany,Berlin,52.510885,13.3989367
62,Caixabank DayOne,Spain,Madrid,40.4167047,-3.7035825
63,CaixaImpulse,Spain,Barcelona,41.3828939,2.1774322
64,CapsuleT Travel & Hospitalit…,Greece,Athens,37.9755648,23.7348324
66,Cariplo Factory,Italy,Milan,45.4641943,9.1896346
67,Casa do Impacto,Portugal,Lisbon,38.7077507,-9.1365919
68,Cassini Business Accelerator,Belgium,Brussels,50.8465573,4.351697
69,CDP- Acceleratore Imprese,Italy,Anzio,41.4471008,12.6285618
70,CEEI NCA,France,Nice,43.7009358,7.2683912
71,Centre for Entrepreneurship…,Germany,Berlin,52.510885,13.3989367
72,CESAH,Germany,Darmstadt,49.8851869,8.6736295
73,Cesah,Germany,Darmstadt,49.8851869,8.6736295
74,cesah GmbH,Germany,Darmstadt,49.8851869,8.6736295
75,Chemovator,Germany,Mannheim,49.4892913,8.4673098
77,Club Acceleratori,Italy,Milan,45.4641943,9.1896346
78,Co-pace,Germany,Frankfurt,50.1106444,8.6820917
79,Co-pace,Germany,Frankfurt,50.1106444,8.6820917
80,CODE Entrepreneurship,Germany,Berlin,52.510885,13.3989367
81,Commercialization Reactor,Latvia,Riga,56.9493977,24.1051846
82,Conector Startup Accelerator,Spain,Barcelona,41.3828939,2.1774322
83,Correos Labs,Spain,Madrid,40.4167047,-3.7035825
84,Crealia,France,Paris,48.8534951,2.3483915
85,Cuatrecasas Acelera,Spain,Barcelona,41.3828939,2.1774322
86,Culinary Action!,Spain,San Sebastian,43.3224219,-1.9838889
87,Daftcode,Poland,Warsaw,52.2319581,21.0067249
88,Dangerous Venture Studio,Italy,Bologna,44.4938203,11.3426327
89,Day One,Greece,Athens,37.9755648,23.7348324
90,Day One Partners - L'Accele…,France,Paris,48.8534951,2.3483915
91,DB Accelerator,Germany,Berlin,52.510885,13.3989367
92,DeFi Alliance,Greece,Attica,37.7561803,23.6669006
93,Demium,Spain,Valencia,39.4697065,-0.3763353
94,Demium Capital,Spain,Valencia,39.4697065,-0.3763353
95,Desafia,Spain,Bilbao,43.2630018,-2.9350039
96,DesignFarmBerlin,Germany,Berlin,52.510885,13.3989367
97,Digital Hub Region Bonn,Germany,Bonn,50.7352621,7.1024635
98,Digital Magics,Italy,Milan,45.4641943,9.1896346
99,Discoveries,Portugal,Lisbon,38.7077507,-9.1365919
100,Disruption by Delta ventures,Portugal,Lisbon,38.7077507,-9.1365919
101,Djäkne Startup Studio,Sweden,Malmo,55.6052931,13.0001566
102,Dock3 - The Startup Lab,Italy,Rome,41.8933203,12.4829321
103,Dogpatch Labs NDRC Accel…,Ireland,Dublin,53.3493795,-6.2605593
104,Drukka,Hungary,Budapest,47.4978789,19.0402383
106,E.ON :agile accelerator,Germany,Düsseldorf,51.2254018,6.7763137
107,EDP Starter,Portugal,Lisbon,38.7077507,-9.1365919
108,EduLAB EdTech Accellerator,Poland,Warsaw,52.2319581,21.0067249
110,EIT Digital Accelerator,Belgium,Brussels,50.8465573,4.351697
111,EIT FAN Helsinki (Food Acce…,Spain,Bilbao,43.2630018,-2.9350039
112,EIT Food,Belgium,Leuven,50.879202,4.7011675
113,EIT Health,Germany,Munich,48.1371079,11.5753822
114,EIT Health e.V.,Germany,Munich,48.1371079,11.5753822
117,EIT Manufacturing,France,Palaiseau,48.7144587,2.2453842
118,EIT RawMaterials,Germany,Berlin,52.510885,13.3989367
119,EIT Urban Mobility,Spain,Barcelona,41.3828939,2.1774322
120,Elevate AUBG,Bulgaria,Blagoevgrad,41.750287,23.4873411
121,Elevator Lab Challenge,Austria,Vienna,48.2083537,16.3725042
122,Elevator Lab Challenge by R…,Austria,Vienna,48.2083537,16.3725042
123,Eleven Accelerator Venture …,Bulgaria,Sofia,42.6977028,23.3217359
124,Elewit,Spain,Madrid,40.4167047,-3.7035825
125,Emerge Accelerator,France,Paris,48.8534951,2.3483915
126,Endeavor Bulgaria,Bulgaria,Sofia,42.6977028,23.3217359
127,ESA BIC AUSTRIA,Austria,Graz,47.0708678,15.4382786
128,ESA BIC Austria,Austria,Vienna,48.2083537,16.3725042
129,ESA BIC Baden-Württemberg,Germany,Kusterdingen,48.5027717,9.1137828
