FUA,Count,COUNTRY,Latitude,Longitude
Paris,8,France,48.8534951,2.3483915
Madrid,5,Spain,40.4167047,-3.7035825
Munich,4,Germany,48.1371079,11.5753822
Milan,4,Italy,45.4641943,9.1896346
Porto,3,Portugal,41.1494512,-8.6107884
Brussels,3,Belgium,50.8465573,4.351697
Barcelona,3,Spain,41.3828939,2.1774322
Berlin,3,Germany,52.510885,13.3989367
Rome,3,Italy,41.8933203,12.4829321
Oulu,2,Finland,65.0118734,25.4716809
Frankfurt,2,Germany,50.1106444,8.6820917
Stuttgart,2,Germany,48.7784485,9.1800132
Enschede,2,Netherlands,52.2209855,6.8940537
Vienna,2,Austria,48.2083537,16.3725042
Eindhoven,2,Netherlands,51.4392648,5.478633
Gothenburg,2,Sweden,57.7072326,11.9670171
Helsinki,2,Finland,60.1674881,24.9427473
Utrecht,2,Netherlands,52.0907006,5.1215634
Amsterdam,2,Netherlands,52.3730796,4.8924534
Stockholm,2,Sweden,59.3251172,18.0710935
Dublin,2,Ireland,53.3493795,-6.2605593
Turin,2,Italy,45.0677551,7.6824892
Aachen,2,Germany,50.776351,6.083862
Copenhagen,2,Denmark,55.6867243,12.5700724
Turku,1,Finland,60.4517531,22.2670522
Linkoping,1,Sweden,58.4098135,15.6245252
Tallinn,1,Estonia,59.4372155,24.7453688
Cracow,1,Poland,50.0606452,19.9370985
Warsaw,1,Poland,52.2319581,21.0067249
Lisbon,1,Portugal,38.7077507,-9.1365919
Athens,1,Greece,37.9755648,23.7348324
Bilbao,1,Spain,43.2630018,-2.9350039
Cologne,1,Germany,50.938361,6.959974
Grenoble,1,France,45.1875602,5.7357819
Antwerp,1,Belgium,51.2211097,4.3997081
Aalborg,1,Denmark,57.0462626,9.9215263
Cork,1,Ireland,51.897077,-8.4654674
Odense,1,Denmark,55.3997225,10.3852104
Galway,1,Ireland,53.2744122,-9.0490601
Lyon,1,France,45.7578137,4.8320114
Prague,1,Czech Republic,50.0596288,14.4464593
Dresden,1,Germany,51.0493286,13.7381437
Reykjavik,1,,52.0219769,4.2966773
Lille,1,France,50.6365654,3.0635282
Malmo,1,Sweden,55.6052931,13.0001566
Heidelberg,1,Germany,49.4093582,8.694724
Uppsala,1,Sweden,59.8586126,17.6387436
Karlsruhe,1,Germany,49.0068705,8.4034195
Leiden,1,Netherlands,52.1594747,4.4908843
Aarhus,1,Denmark,56.1496278,10.2134046
Gent,1,Belgium,51.0538286,3.7250121
Rotterdam,1,Netherlands,51.9244424,4.47775
Basel,1,Switzerland,47.5581077,7.5878261
Hamburg,1,Germany,53.550341,10.000654
Tubingen,1,Germany,48.5203263,9.053596
Leipzig,1,Germany,51.3406321,12.3747329
Bonn,1,Germany,50.735851,7.10066
Nicosia,1,Cyprus,35.1746503,33.3638783
